erc_short_id,erc_id,catalog_record_id,primary_representation_type,primary_representation_url,human_decision,authorization_state,decision,decision_reason,human_authorization_record,next_evidence_action,evidence_purpose,pass1_match_class_frozen,candidate_multiplicity,notes
ERC-011,erc-4.5-pdf-011-aosrd-webinars-156-rNvF48yMEag,aosrd-webinars-156-rNvF48yMEag,AOSRD_PDF,https://aosrd.org/how-to-choose-the-best-stem-cell-sources-for-your-practice-with-dr-joy-kong/,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_011;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,unlinked_source_investigation,no_match,0,authorization decision only; does not establish session identity / novelty / KO
ERC-012,erc-4.5-pdf-012-aosrd-webinars-158-BcMb7ZimIEo,aosrd-webinars-158-BcMb7ZimIEo,AOSRD_PDF,https://aosrd.org/ivermectin-feeds-bifidobactedium-to-boost-immunity/,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_012;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,identity_resolution,possible,2,authorization decision only; does not establish session identity / novelty / KO
ERC-013,erc-4.5-pdf-013-aosrd-webinars-159-5DmzZRupogw,aosrd-webinars-159-5DmzZRupogw,AOSRD_PDF,https://aosrd.org/unlocking-the-power-of-the-mind-body-connection-with-dr-emmett-miller/,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_013;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,unlinked_source_investigation,no_match,0,authorization decision only; does not establish session identity / novelty / KO
ERC-014,erc-4.5-pdf-014-aosrd-webinars-163--JGUhnhLGrQ,aosrd-webinars-163--JGUhnhLGrQ,AOSRD_PDF,https://aosrd.org/nutritional-excellence-the-kohana-approach-to-optimal-health-with-dr-rober-quinn/,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_014;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,identity_resolution,possible,1,authorization decision only; does not establish session identity / novelty / KO
ERC-015,erc-4.5-pdf-015-aosrd-webinars-166-RM39JRpthTg,aosrd-webinars-166-RM39JRpthTg,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2023/07/Pharmacology-of-Emerging-Therapies-in-Chronic-Disease-Management-2023.pdf,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_015;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,unlinked_source_investigation,no_match,0,authorization decision only; does not establish session identity / novelty / KO
ERC-016,erc-4.5-pdf-016-aosrd-webinars-169-xIY-4j04zh0,aosrd-webinars-169-xIY-4j04zh0,AOSRD_PDF,https://aosrd.org/live-healthier-better-and-longer-with-hydrogen-by-bob-settineri/,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_016;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,unlinked_source_investigation,no_match,0,authorization decision only; does not establish session identity / novelty / KO
ERC-017,erc-4.5-pdf-017-aosrd-webinars-170-hj4CXKqCtkg,aosrd-webinars-170-hj4CXKqCtkg,AOSRD_PDF,https://aosrd.org/the-incretin-hormones-and-the-new-face-of-weight-loss-with-dr-william-clearfield/,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_017;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,identity_resolution,possible,1,authorization decision only; does not establish session identity / novelty / KO
ERC-018,erc-4.5-pdf-018-aosrd-webinars-171-wSFbd7D8Lpw,aosrd-webinars-171-wSFbd7D8Lpw,AOSRD_PDF,https://aosrd.org/integrative-imunity-part-2-dr-benoit-tano/,DEFER,deferred,DEFER,HUMAN_DEFER,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_018;human_decision=DEFER;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,identity_resolution,variant_derivative,5,authorization decision only; does not establish session identity / novelty / KO
ERC-019,erc-4.5-pdf-019-aosrd-webinars-172-aPPCKg2l-eQ,aosrd-webinars-172-aPPCKg2l-eQ,AOSRD_PDF,https://aosrd.org/everything-you-ever-wanted-to-peptides-with-dr-jay-campbell/,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_019;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,identity_resolution,possible,1,authorization decision only; does not establish session identity / novelty / KO
ERC-020,erc-4.5-pdf-020-aosrd-webinars-173-yAA5qJFYPgg,aosrd-webinars-173-yAA5qJFYPgg,AOSRD_PDF,https://aosrd.org/the-importance-of-polysacchari-unction-with-dr-john-e-lewis/,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_020;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,identity_resolution,possible,1,authorization decision only; does not establish session identity / novelty / KO
ERC-021,erc-4.5-pdf-021-aosrd-webinars-174-LcK7emnFeVk,aosrd-webinars-174-LcK7emnFeVk,AOSRD_PDF,https://aosrd.org/clinical-applications-of-amlexonax/,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_021;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,unlinked_source_investigation,no_match,0,authorization decision only; does not establish session identity / novelty / KO
ERC-022,erc-4.5-pdf-022-aosrd-webinars-175-wTPrdOyALx0,aosrd-webinars-175-wTPrdOyALx0,AOSRD_PDF,https://aosrd.org/ehlers-danlos-syndrome-treated-with-frequency-specific-microcurrant-by-dr-carol-mcmakin/,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_022;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,identity_resolution,possible,1,authorization decision only; does not establish session identity / novelty / KO
ERC-023,erc-4.5-pdf-023-aosrd-webinars-178-D7o1Fdgy42o,aosrd-webinars-178-D7o1Fdgy42o,AOSRD_PDF,https://aosrd.org/cannabis-101-with-dr-kent-crowley/,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_023;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,identity_resolution,possible,1,authorization decision only; does not establish session identity / novelty / KO
ERC-024,erc-4.5-pdf-024-aosrd-webinars-179-9suZ_6zVHEM,aosrd-webinars-179-9suZ_6zVHEM,AOSRD_PDF,https://aosrd.org/methylene-blue-with-dr-bill-clearfield/,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_024;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,identity_resolution,possible,2,authorization decision only; does not establish session identity / novelty / KO
ERC-025,erc-4.5-pdf-025-aosrd-webinars-180-XS22Ub34U-o,aosrd-webinars-180-XS22Ub34U-o,AOSRD_PDF,https://aosrd.org/autism-with-dr-jenny-blanchard-stone/,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_025;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,unlinked_source_investigation,no_match,0,authorization decision only; does not establish session identity / novelty / KO
ERC-026,erc-4.5-pdf-026-aosrd-webinars-182-FsuYMzPyjWE,aosrd-webinars-182-FsuYMzPyjWE,AOSRD_PDF,https://aosrd.org/the-new-face-of-weight-loss-with-dr-bill-clearfield/,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_026;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,identity_resolution,possible,1,authorization decision only; does not establish session identity / novelty / KO
ERC-027,erc-4.5-pdf-027-aosrd-webinars-183-CW3op9BkNI8,aosrd-webinars-183-CW3op9BkNI8,AOSRD_PDF,https://aosrd.org/behind-the-scenes-thyroid-mechanisms-with-dr-brad-watts/,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_027;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,unlinked_source_investigation,no_match,0,authorization decision only; does not establish session identity / novelty / KO
ERC-028,erc-4.5-pdf-028-aosrd-webinars-184-4nZN4zvp_Uk,aosrd-webinars-184-4nZN4zvp_Uk,AOSRD_PDF,https://aosrd.org/bioregulatory-medicine-applied-to-fur-babies-with-dr-marlene-siegel/,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_028;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,unlinked_source_investigation,no_match,0,authorization decision only; does not establish session identity / novelty / KO
ERC-029,erc-4.5-pdf-029-aosrd-webinars-185-AZvxTJWqeBA,aosrd-webinars-185-AZvxTJWqeBA,AOSRD_PDF,https://aosrd.org/glutathione-update-with-dr-nayan-patel/,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_029;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,identity_resolution,possible,1,authorization decision only; does not establish session identity / novelty / KO
ERC-030,erc-4.5-pdf-030-aosrd-webinars-186-hUswEBL-LBc,aosrd-webinars-186-hUswEBL-LBc,AOSRD_PDF,https://aosrd.org/update-on-glutathione-therapy-with-dr-nayan-patel/,DEFER,deferred,DEFER,HUMAN_DEFER,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_030;human_decision=DEFER;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,identity_resolution,possible,4,authorization decision only; does not establish session identity / novelty / KO
ERC-031,erc-4.5-pdf-031-aosrd-webinars-189-bMobTwHmWhM,aosrd-webinars-189-bMobTwHmWhM,AOSRD_PDF,https://aosrd.org/integrative-immunology-with-dr-benoit-tano/,DEFER,deferred,DEFER,HUMAN_DEFER,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_031;human_decision=DEFER;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,identity_resolution,possible,3,authorization decision only; does not establish session identity / novelty / KO
ERC-032,erc-4.5-pdf-032-aosrd-webinars-190-5hQ-anaFGIU,aosrd-webinars-190-5hQ-anaFGIU,AOSRD_PDF,https://aosrd.org/the-ancestral-diet-as-treatment-for-chronic-disease-with-stefan-hartmann-pa/,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_032;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,identity_resolution,possible,2,authorization decision only; does not establish session identity / novelty / KO
ERC-033,erc-4.5-pdf-033-aosrd-webinars-191-ZrOMyfW29og,aosrd-webinars-191-ZrOMyfW29og,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2023/01/Interpretation-of-test-results-.pdf,DEFER,deferred,DEFER,HUMAN_DEFER,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_033;human_decision=DEFER;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,identity_resolution,possible,5,authorization decision only; does not establish session identity / novelty / KO
ERC-034,erc-4.5-pdf-034-aosrd-webinars-193-3HKa-GZK_Qw,aosrd-webinars-193-3HKa-GZK_Qw,AOSRD_PDF,https://aosrd.org/menopause-the-impact-on-skin-and-hair-by-dr-felice-gersh/,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_034;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,identity_resolution,possible,1,authorization decision only; does not establish session identity / novelty / KO
ERC-035,erc-4.5-pdf-035-aosrd-webinars-195-i-q4BtUNVuI,aosrd-webinars-195-i-q4BtUNVuI,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2023/01/14-3-3eta_AOSIM_Final_2023.pdf,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_035;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,unlinked_source_investigation,no_match,0,authorization decision only; does not establish session identity / novelty / KO
ERC-036,erc-4.5-pdf-036-aosrd-webinars-196-Td9ybE_W-wU,aosrd-webinars-196-Td9ybE_W-wU,AOSRD_PDF,https://aosrd.org/the-role-of-the-renin-angiotensin-components-in-atherosclerosis-with-dr-james-joseph/,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_036;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,identity_resolution,possible,2,authorization decision only; does not establish session identity / novelty / KO
ERC-037,erc-4.5-pdf-037-aosrd-webinars-197-92sBrfKcyfE,aosrd-webinars-197-92sBrfKcyfE,AOSRD_PDF,https://aosrd.org/oxytocin-utilization-in-chronic-disease-management-with-dr-salaheldin-halasa/,DEFER,deferred,DEFER,HUMAN_DEFER,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_037;human_decision=DEFER;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,identity_resolution,variant_derivative,5,authorization decision only; does not establish session identity / novelty / KO
ERC-038,erc-4.5-pdf-038-aosrd-webinars-198-fwLHIoDOipY,aosrd-webinars-198-fwLHIoDOipY,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2022/12/The-Role-of-Nutrition-and-Prevention-1.pdf,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_038;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,unlinked_source_investigation,no_match,0,authorization decision only; does not establish session identity / novelty / KO
ERC-039,erc-4.5-pdf-039-aosrd-webinars-199-GpYX1_vmLFI,aosrd-webinars-199-GpYX1_vmLFI,AOSRD_PDF,https://aosrd.org/fracture-proof-your-bones-a-comprehensive-guide-to-osteoporosis-with-dr-john-neustadt/,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_039;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,identity_resolution,possible,2,authorization decision only; does not establish session identity / novelty / KO
ERC-040,erc-4.5-pdf-040-aosrd-webinars-200-8vtxAVALprY,aosrd-webinars-200-8vtxAVALprY,AOSRD_PDF,https://aosrd.org/integrative-psychiatry-neurofeedback-and-the-treatment-resistant-patient-with-dr-john-finnick/,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_040;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,unlinked_source_investigation,no_match,0,authorization decision only; does not establish session identity / novelty / KO
ERC-041,erc-4.5-pdf-041-aosrd-webinars-201-8blzjFv9r8I,aosrd-webinars-201-8blzjFv9r8I,AOSRD_PDF,https://aosrd.org/osteopathic-manipulation-in-pain-and-substance-abuse/,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_041;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,unlinked_source_investigation,no_match,0,authorization decision only; does not establish session identity / novelty / KO
ERC-042,erc-4.5-pdf-042-aosrd-webinars-202-x6BIrL8qmzk,aosrd-webinars-202-x6BIrL8qmzk,AOSRD_PDF,https://aosrd.org/oxytocin-utilization-in-chronic-disease-management-with-dr-salaheldin-halasa/,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_042;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,identity_resolution,possible,2,authorization decision only; does not establish session identity / novelty / KO
ERC-043,erc-4.5-pdf-043-aosrd-webinars-203-4u_3c_lFUzs,aosrd-webinars-203-4u_3c_lFUzs,AOSRD_PDF,https://aosrd.org/type-1-diabetes-outcomes-therapies-and-future-innovations-with-dr-andrew-koutnik/,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_043;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,identity_resolution,possible,1,authorization decision only; does not establish session identity / novelty / KO
ERC-044,erc-4.5-pdf-044-aosrd-webinars-204-Qy2mrgSpVNg,aosrd-webinars-204-Qy2mrgSpVNg,AOSRD_PDF,https://aosrd.org/the-positive-side-of-the-plummeting-health-index-in-america/,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_044;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,identity_resolution,possible,3,authorization decision only; does not establish session identity / novelty / KO
ERC-045,erc-4.5-pdf-045-aosrd-webinars-207-0cBElywMkUY,aosrd-webinars-207-0cBElywMkUY,AOSRD_PDF,https://aosrd.org/plasmalogens-brain-health-and-longevity-what-every-integrative-and-osteopathic-physician-needs-to-know-by-dr-dayan-goodenowe/,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_045;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,identity_resolution,possible,3,authorization decision only; does not establish session identity / novelty / KO
ERC-046,erc-4.5-pdf-046-aosrd-webinars-209-728P3vA7hsU,aosrd-webinars-209-728P3vA7hsU,AOSRD_PDF,https://aosrd.org/molds-mycotoxins-and-the-brain-an-evidenced-based-presentation-by-dr-andrew-campbell/,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_046;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,identity_resolution,possible,2,authorization decision only; does not establish session identity / novelty / KO
ERC-047,erc-4.5-pdf-047-aosrd-webinars-214-Zf7hlrZ7Ljo,aosrd-webinars-214-Zf7hlrZ7Ljo,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2022/08/Clinical-Manifestations-on-Gut-Brain-Connections.pdf,AUTHORIZE,authorized,AUTHORIZE_ACTION,HUMAN_AUTHORIZE,actor=human_reviewer;timestamp=2026-09-10T22:02:36Z;scope=pass_4.5_pdf_mvp_erc_047;human_decision=AUTHORIZE;source=authoritative_human_decision_ledger,DOWNLOAD_PDF,unlinked_source_investigation,no_match,0,authorization decision only; does not establish session identity / novelty / KO
