erc_id,authorization_state,representation_type,external_url,acquisition_purpose,catalog_record,shared_representation_status,acquisition_unit_id,local_presence_status
erc-4.5-pdf-019-aosrd-webinars-172-aPPCKg2l-eQ,AUTHORIZE,AOSRD_PDF,https://aosrd.org/everything-you-ever-wanted-to-peptides-with-dr-jay-campbell/,identity_resolution,aosrd-webinars-172-aPPCKg2l-eQ,false,AU-011,not_present
erc-4.5-pdf-020-aosrd-webinars-173-yAA5qJFYPgg,AUTHORIZE,AOSRD_PDF,https://aosrd.org/the-importance-of-polysacchari-unction-with-dr-john-e-lewis/,identity_resolution,aosrd-webinars-173-yAA5qJFYPgg,false,AU-034,not_present
erc-4.5-pdf-021-aosrd-webinars-174-LcK7emnFeVk,AUTHORIZE,AOSRD_PDF,https://aosrd.org/clinical-applications-of-amlexonax/,new_session_candidate,aosrd-webinars-174-LcK7emnFeVk,false,AU-008,not_present
erc-4.5-pdf-022-aosrd-webinars-175-wTPrdOyALx0,AUTHORIZE,AOSRD_PDF,https://aosrd.org/ehlers-danlos-syndrome-treated-with-frequency-specific-microcurrant-by-dr-carol-mcmakin/,identity_resolution,aosrd-webinars-175-wTPrdOyALx0,false,AU-010,not_present
erc-4.5-pdf-023-aosrd-webinars-178-D7o1Fdgy42o,AUTHORIZE,AOSRD_PDF,https://aosrd.org/cannabis-101-with-dr-kent-crowley/,identity_resolution,aosrd-webinars-178-D7o1Fdgy42o,false,AU-006,not_present
erc-4.5-pdf-024-aosrd-webinars-179-9suZ_6zVHEM,AUTHORIZE,AOSRD_PDF,https://aosrd.org/methylene-blue-with-dr-bill-clearfield/,identity_resolution,aosrd-webinars-179-9suZ_6zVHEM,false,AU-024,not_present
erc-4.5-pdf-025-aosrd-webinars-180-XS22Ub34U-o,AUTHORIZE,AOSRD_PDF,https://aosrd.org/autism-with-dr-jenny-blanchard-stone/,new_session_candidate,aosrd-webinars-180-XS22Ub34U-o,false,AU-003,not_present
erc-4.5-pdf-026-aosrd-webinars-182-FsuYMzPyjWE,AUTHORIZE,AOSRD_PDF,https://aosrd.org/the-new-face-of-weight-loss-with-dr-bill-clearfield/,identity_resolution,aosrd-webinars-182-FsuYMzPyjWE,false,AU-036,not_present
erc-4.5-pdf-027-aosrd-webinars-183-CW3op9BkNI8,AUTHORIZE,AOSRD_PDF,https://aosrd.org/behind-the-scenes-thyroid-mechanisms-with-dr-brad-watts/,new_session_candidate,aosrd-webinars-183-CW3op9BkNI8,false,AU-004,not_present
erc-4.5-pdf-028-aosrd-webinars-184-4nZN4zvp_Uk,AUTHORIZE,AOSRD_PDF,https://aosrd.org/bioregulatory-medicine-applied-to-fur-babies-with-dr-marlene-siegel/,new_session_candidate,aosrd-webinars-184-4nZN4zvp_Uk,false,AU-005,not_present
erc-4.5-pdf-029-aosrd-webinars-185-AZvxTJWqeBA,AUTHORIZE,AOSRD_PDF,https://aosrd.org/glutathione-update-with-dr-nayan-patel/,identity_resolution,aosrd-webinars-185-AZvxTJWqeBA,false,AU-015,not_present
erc-4.5-pdf-030-aosrd-webinars-186-hUswEBL-LBc,DEFER,AOSRD_PDF,https://aosrd.org/update-on-glutathione-therapy-with-dr-nayan-patel/,identity_resolution,aosrd-webinars-186-hUswEBL-LBc,not_queued,,not_applicable
erc-4.5-pdf-031-aosrd-webinars-189-bMobTwHmWhM,DEFER,AOSRD_PDF,https://aosrd.org/integrative-immunology-with-dr-benoit-tano/,identity_resolution,aosrd-webinars-189-bMobTwHmWhM,not_queued,,not_applicable
erc-4.5-pdf-032-aosrd-webinars-190-5hQ-anaFGIU,AUTHORIZE,AOSRD_PDF,https://aosrd.org/the-ancestral-diet-as-treatment-for-chronic-disease-with-stefan-hartmann-pa/,identity_resolution,aosrd-webinars-190-5hQ-anaFGIU,false,AU-033,not_present
erc-4.5-pdf-033-aosrd-webinars-191-ZrOMyfW29og,DEFER,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2023/01/Interpretation-of-test-results-.pdf,identity_resolution,aosrd-webinars-191-ZrOMyfW29og,not_queued,,not_applicable
erc-4.5-pdf-034-aosrd-webinars-193-3HKa-GZK_Qw,AUTHORIZE,AOSRD_PDF,https://aosrd.org/menopause-the-impact-on-skin-and-hair-by-dr-felice-gersh/,identity_resolution,aosrd-webinars-193-3HKa-GZK_Qw,false,AU-023,not_present
erc-4.5-pdf-035-aosrd-webinars-195-i-q4BtUNVuI,AUTHORIZE,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2023/01/14-3-3eta_AOSIM_Final_2023.pdf,new_session_candidate,aosrd-webinars-195-i-q4BtUNVuI,false,AU-048,not_present
erc-4.5-pdf-036-aosrd-webinars-196-Td9ybE_W-wU,AUTHORIZE,AOSRD_PDF,https://aosrd.org/the-role-of-the-renin-angiotensin-components-in-atherosclerosis-with-dr-james-joseph/,identity_resolution,aosrd-webinars-196-Td9ybE_W-wU,false,AU-038,not_present
erc-4.5-pdf-037-aosrd-webinars-197-92sBrfKcyfE,DEFER,AOSRD_PDF,https://aosrd.org/oxytocin-utilization-in-chronic-disease-management-with-dr-salaheldin-halasa/,identity_resolution,aosrd-webinars-197-92sBrfKcyfE,not_queued,,not_applicable
erc-4.5-pdf-038-aosrd-webinars-198-fwLHIoDOipY,AUTHORIZE,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2022/12/The-Role-of-Nutrition-and-Prevention-1.pdf,new_session_candidate,aosrd-webinars-198-fwLHIoDOipY,false,AU-047,not_present
erc-4.5-pdf-039-aosrd-webinars-199-GpYX1_vmLFI,AUTHORIZE,AOSRD_PDF,https://aosrd.org/fracture-proof-your-bones-a-comprehensive-guide-to-osteoporosis-with-dr-john-neustadt/,identity_resolution,aosrd-webinars-199-GpYX1_vmLFI,false,AU-012,not_present
erc-4.5-pdf-040-aosrd-webinars-200-8vtxAVALprY,AUTHORIZE,AOSRD_PDF,https://aosrd.org/integrative-psychiatry-neurofeedback-and-the-treatment-resistant-patient-with-dr-john-finnick/,new_session_candidate,aosrd-webinars-200-8vtxAVALprY,false,AU-019,not_present
erc-4.5-pdf-041-aosrd-webinars-201-8blzjFv9r8I,AUTHORIZE,AOSRD_PDF,https://aosrd.org/osteopathic-manipulation-in-pain-and-substance-abuse/,new_session_candidate,aosrd-webinars-201-8blzjFv9r8I,false,AU-028,not_present
erc-4.5-pdf-042-aosrd-webinars-202-x6BIrL8qmzk,AUTHORIZE,AOSRD_PDF,https://aosrd.org/oxytocin-utilization-in-chronic-disease-management-with-dr-salaheldin-halasa/,identity_resolution,aosrd-webinars-202-x6BIrL8qmzk,false,AU-029,not_present
erc-4.5-pdf-043-aosrd-webinars-203-4u_3c_lFUzs,AUTHORIZE,AOSRD_PDF,https://aosrd.org/type-1-diabetes-outcomes-therapies-and-future-innovations-with-dr-andrew-koutnik/,identity_resolution,aosrd-webinars-203-4u_3c_lFUzs,false,AU-039,not_present
erc-4.5-pdf-044-aosrd-webinars-204-Qy2mrgSpVNg,AUTHORIZE,AOSRD_PDF,https://aosrd.org/the-positive-side-of-the-plummeting-health-index-in-america/,identity_resolution,aosrd-webinars-204-Qy2mrgSpVNg,false,AU-037,not_present
erc-4.5-pdf-045-aosrd-webinars-207-0cBElywMkUY,AUTHORIZE,AOSRD_PDF,https://aosrd.org/plasmalogens-brain-health-and-longevity-what-every-integrative-and-osteopathic-physician-needs-to-know-by-dr-dayan-goodenowe/,identity_resolution,aosrd-webinars-207-0cBElywMkUY,false,AU-031,not_present
erc-4.5-pdf-046-aosrd-webinars-209-728P3vA7hsU,AUTHORIZE,AOSRD_PDF,https://aosrd.org/molds-mycotoxins-and-the-brain-an-evidenced-based-presentation-by-dr-andrew-campbell/,identity_resolution,aosrd-webinars-209-728P3vA7hsU,false,AU-025,not_present
erc-4.5-pdf-047-aosrd-webinars-214-Zf7hlrZ7Ljo,AUTHORIZE,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2022/08/Clinical-Manifestations-on-Gut-Brain-Connections.pdf,new_session_candidate,aosrd-webinars-214-Zf7hlrZ7Ljo,false,AU-046,not_present
erc-4.5-pdf-048-aosrd-webinars-224-qORv5ARtglk,AUTHORIZE,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2022/06/The-Future-of-Biological-Dentistry-by-Dr-Scott-Chandler.pdf,new_session_candidate,aosrd-webinars-224-qORv5ARtglk,false,AU-045,not_present
erc-4.5-pdf-049-aosrd-webinars-230-P7DyhMvm0SA,AUTHORIZE,AOSRD_PDF,https://aosrd.org/anti-aging-medicine-with-dr-mikhail-berman/,new_session_candidate,aosrd-webinars-230-P7DyhMvm0SA,false,AU-002,not_present
erc-4.5-pdf-050-aosrd-webinars-232-rqFCphSMW1o,AUTHORIZE,AOSRD_PDF,https://aosrd.org/integrative-medicine-and-the-law-by-judge-egan-walker/,new_session_candidate,aosrd-webinars-232-rqFCphSMW1o,false,AU-018,not_present
erc-4.5-pdf-051-aosrd-webinars-233-GFCg9tySvGI,AUTHORIZE,AOSRD_PDF,https://aosrd.org/new-horizons-in-cancer-treatment-kalapana-patel-md/,new_session_candidate,aosrd-webinars-233-GFCg9tySvGI,false,AU-026,not_present
erc-4.5-pdf-052-aosrd-webinars-234-5xpAcQ8J7hE,AUTHORIZE,AOSRD_PDF,https://aosrd.org/frequency-specific-microcurrent-by-carol-mcmakin-madc/,new_session_candidate,aosrd-webinars-234-5xpAcQ8J7hE,false,AU-013,not_present
erc-4.5-pdf-053-aosrd-webinars-235-4ErgdNqYbRc,DEFER,AOSRD_PDF,https://aosrd.org/integrative-immuno-oncology-salaheldin-halasa-md/,identity_resolution,aosrd-webinars-235-4ErgdNqYbRc,not_queued,,not_applicable
erc-4.5-pdf-054-aosrd-webinars-236-JdOL-00shnA,AUTHORIZE,AOSRD_PDF,https://aosrd.org/chronic-fatigue-syndrome/,identity_resolution,aosrd-webinars-236-JdOL-00shnA,false,AU-007,not_present
erc-4.5-pdf-055-aosrd-webinars-237-p59K6kGBP-Y,DEFER,AOSRD_PDF,https://aosrd.org/integrative-immuno-oncology-salaheldin-halasa-md/,identity_resolution,aosrd-webinars-237-p59K6kGBP-Y,not_queued,,not_applicable
erc-4.5-pdf-056-aosrd-webinars-238-oMjTc20O6Ps,AUTHORIZE,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2022/03/What-I-learned-from-the-Osteopathic-Masters-and....-Richwine-William-final-2022.0301-pdf.pdf,new_session_candidate,aosrd-webinars-238-oMjTc20O6Ps,false,AU-044,not_present
erc-4.5-pdf-057-aosrd-webinars-241-nqr6cW4Gw_A,DEFER,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2022/06/The-Future-of-Biological-Dentistry-by-Dr-Scott-Chandler.pdf,new_session_candidate,aosrd-webinars-241-nqr6cW4Gw_A,not_queued,,not_applicable
erc-4.5-pdf-058-aosrd-webinars-242-tiIDS69FRkQ,AUTHORIZE,AOSRD_PDF,https://aosrd.org/pairing-nutrition-with-regenerative-medicine-by-dr-brad-watts/,identity_resolution,aosrd-webinars-242-tiIDS69FRkQ,false,AU-030,not_present
erc-4.5-pdf-059-aosrd-webinars-244-DwiLCdt69H4,AUTHORIZE,AOSRD_PDF,https://aosrd.org/solutions-on-suicide-january-18-2022-by-joel-peterson/,identity_resolution,aosrd-webinars-244-DwiLCdt69H4,false,AU-032,not_present
erc-4.5-pdf-060-aosrd-webinars-245-y3Fz32zWP10,AUTHORIZE,AOSRD_PDF,https://aosrd.org/hypo-and-hyperthyroidism-are-one-internal-disease/,new_session_candidate,aosrd-webinars-245-y3Fz32zWP10,false,AU-017,not_present
erc-4.5-pdf-061-aosrd-webinars-249-3mTLksPwJyo,AUTHORIZE,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2021/12/Mold-and-Mycotoxins-1021.pdf,identity_resolution,aosrd-webinars-249-3mTLksPwJyo,false,AU-043,not_present
erc-4.5-pdf-062-aosrd-webinars-261-qVX_h6blAQw,AUTHORIZE,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2021/09/PowerPoint-for-Doctors-Terri-Jay-2.pdf,new_session_candidate,aosrd-webinars-261-qVX_h6blAQw,false,AU-042,not_present
erc-4.5-pdf-063-aosrd-webinars-263-lCzuTx9LKnQ,AUTHORIZE,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2021/08/Chronic-Fatigue-Syndrome-ASORD-1.pdf,identity_resolution,aosrd-webinars-263-lCzuTx9LKnQ,false,AU-041,not_present
erc-4.5-pdf-064-aosrd-webinars-268-2cecK4Jk2vw,DENY,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2021/07/Genetic-Snips-and-COVID-19-Severity-7.6.21.pdf,identity_resolution,aosrd-webinars-268-2cecK4Jk2vw,not_queued,,not_applicable
erc-4.5-pdf-065-aosrd-webinars-280-gLzMZA_eM5g,DEFER,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2021/06/Immune-Peptides-w-Intro.pdf,identity_resolution,aosrd-webinars-280-gLzMZA_eM5g,not_queued,,not_applicable
erc-4.5-pdf-066-aosrd-webinars-283-cxoIpMhdeJw,DENY,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2021/04/Post-Covid-19-Vaccine-Toxic-Syndrome.pdf,new_session_candidate,aosrd-webinars-283-cxoIpMhdeJw,not_queued,,not_applicable
