exception_id,exception_class,erc_id,acquisition_unit_id,catalog_record_id,external_url,detail,requires_human_review
EX-AUTH-ERC-029,missing_or_invalid_authorization_state,erc-4.5-pdf-029-aosrd-webinars-185-AZvxTJWqeBA,,aosrd-webinars-185-AZvxTJWqeBA,https://aosrd.org/glutathione-update-with-dr-nayan-patel/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-030,missing_or_invalid_authorization_state,erc-4.5-pdf-030-aosrd-webinars-186-hUswEBL-LBc,,aosrd-webinars-186-hUswEBL-LBc,https://aosrd.org/update-on-glutathione-therapy-with-dr-nayan-patel/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-031,missing_or_invalid_authorization_state,erc-4.5-pdf-031-aosrd-webinars-189-bMobTwHmWhM,,aosrd-webinars-189-bMobTwHmWhM,https://aosrd.org/integrative-immunology-with-dr-benoit-tano/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-032,missing_or_invalid_authorization_state,erc-4.5-pdf-032-aosrd-webinars-190-5hQ-anaFGIU,,aosrd-webinars-190-5hQ-anaFGIU,https://aosrd.org/the-ancestral-diet-as-treatment-for-chronic-disease-with-stefan-hartmann-pa/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-033,missing_or_invalid_authorization_state,erc-4.5-pdf-033-aosrd-webinars-191-ZrOMyfW29og,,aosrd-webinars-191-ZrOMyfW29og,https://aosrd.org/wp-content/uploads/2023/01/Interpretation-of-test-results-.pdf,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-034,missing_or_invalid_authorization_state,erc-4.5-pdf-034-aosrd-webinars-193-3HKa-GZK_Qw,,aosrd-webinars-193-3HKa-GZK_Qw,https://aosrd.org/menopause-the-impact-on-skin-and-hair-by-dr-felice-gersh/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-035,missing_or_invalid_authorization_state,erc-4.5-pdf-035-aosrd-webinars-195-i-q4BtUNVuI,,aosrd-webinars-195-i-q4BtUNVuI,https://aosrd.org/wp-content/uploads/2023/01/14-3-3eta_AOSIM_Final_2023.pdf,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-036,missing_or_invalid_authorization_state,erc-4.5-pdf-036-aosrd-webinars-196-Td9ybE_W-wU,,aosrd-webinars-196-Td9ybE_W-wU,https://aosrd.org/the-role-of-the-renin-angiotensin-components-in-atherosclerosis-with-dr-james-joseph/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-037,missing_or_invalid_authorization_state,erc-4.5-pdf-037-aosrd-webinars-197-92sBrfKcyfE,,aosrd-webinars-197-92sBrfKcyfE,https://aosrd.org/oxytocin-utilization-in-chronic-disease-management-with-dr-salaheldin-halasa/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-038,missing_or_invalid_authorization_state,erc-4.5-pdf-038-aosrd-webinars-198-fwLHIoDOipY,,aosrd-webinars-198-fwLHIoDOipY,https://aosrd.org/wp-content/uploads/2022/12/The-Role-of-Nutrition-and-Prevention-1.pdf,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-039,missing_or_invalid_authorization_state,erc-4.5-pdf-039-aosrd-webinars-199-GpYX1_vmLFI,,aosrd-webinars-199-GpYX1_vmLFI,https://aosrd.org/fracture-proof-your-bones-a-comprehensive-guide-to-osteoporosis-with-dr-john-neustadt/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-040,missing_or_invalid_authorization_state,erc-4.5-pdf-040-aosrd-webinars-200-8vtxAVALprY,,aosrd-webinars-200-8vtxAVALprY,https://aosrd.org/integrative-psychiatry-neurofeedback-and-the-treatment-resistant-patient-with-dr-john-finnick/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-041,missing_or_invalid_authorization_state,erc-4.5-pdf-041-aosrd-webinars-201-8blzjFv9r8I,,aosrd-webinars-201-8blzjFv9r8I,https://aosrd.org/osteopathic-manipulation-in-pain-and-substance-abuse/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-042,missing_or_invalid_authorization_state,erc-4.5-pdf-042-aosrd-webinars-202-x6BIrL8qmzk,,aosrd-webinars-202-x6BIrL8qmzk,https://aosrd.org/oxytocin-utilization-in-chronic-disease-management-with-dr-salaheldin-halasa/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-043,missing_or_invalid_authorization_state,erc-4.5-pdf-043-aosrd-webinars-203-4u_3c_lFUzs,,aosrd-webinars-203-4u_3c_lFUzs,https://aosrd.org/type-1-diabetes-outcomes-therapies-and-future-innovations-with-dr-andrew-koutnik/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-044,missing_or_invalid_authorization_state,erc-4.5-pdf-044-aosrd-webinars-204-Qy2mrgSpVNg,,aosrd-webinars-204-Qy2mrgSpVNg,https://aosrd.org/the-positive-side-of-the-plummeting-health-index-in-america/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-045,missing_or_invalid_authorization_state,erc-4.5-pdf-045-aosrd-webinars-207-0cBElywMkUY,,aosrd-webinars-207-0cBElywMkUY,https://aosrd.org/plasmalogens-brain-health-and-longevity-what-every-integrative-and-osteopathic-physician-needs-to-know-by-dr-dayan-goodenowe/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-046,missing_or_invalid_authorization_state,erc-4.5-pdf-046-aosrd-webinars-209-728P3vA7hsU,,aosrd-webinars-209-728P3vA7hsU,https://aosrd.org/molds-mycotoxins-and-the-brain-an-evidenced-based-presentation-by-dr-andrew-campbell/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-047,missing_or_invalid_authorization_state,erc-4.5-pdf-047-aosrd-webinars-214-Zf7hlrZ7Ljo,,aosrd-webinars-214-Zf7hlrZ7Ljo,https://aosrd.org/wp-content/uploads/2022/08/Clinical-Manifestations-on-Gut-Brain-Connections.pdf,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-048,missing_or_invalid_authorization_state,erc-4.5-pdf-048-aosrd-webinars-224-qORv5ARtglk,,aosrd-webinars-224-qORv5ARtglk,https://aosrd.org/wp-content/uploads/2022/06/The-Future-of-Biological-Dentistry-by-Dr-Scott-Chandler.pdf,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-049,missing_or_invalid_authorization_state,erc-4.5-pdf-049-aosrd-webinars-230-P7DyhMvm0SA,,aosrd-webinars-230-P7DyhMvm0SA,https://aosrd.org/anti-aging-medicine-with-dr-mikhail-berman/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-050,missing_or_invalid_authorization_state,erc-4.5-pdf-050-aosrd-webinars-232-rqFCphSMW1o,,aosrd-webinars-232-rqFCphSMW1o,https://aosrd.org/integrative-medicine-and-the-law-by-judge-egan-walker/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-051,missing_or_invalid_authorization_state,erc-4.5-pdf-051-aosrd-webinars-233-GFCg9tySvGI,,aosrd-webinars-233-GFCg9tySvGI,https://aosrd.org/new-horizons-in-cancer-treatment-kalapana-patel-md/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-052,missing_or_invalid_authorization_state,erc-4.5-pdf-052-aosrd-webinars-234-5xpAcQ8J7hE,,aosrd-webinars-234-5xpAcQ8J7hE,https://aosrd.org/frequency-specific-microcurrent-by-carol-mcmakin-madc/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-053,missing_or_invalid_authorization_state,erc-4.5-pdf-053-aosrd-webinars-235-4ErgdNqYbRc,,aosrd-webinars-235-4ErgdNqYbRc,https://aosrd.org/integrative-immuno-oncology-salaheldin-halasa-md/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-054,missing_or_invalid_authorization_state,erc-4.5-pdf-054-aosrd-webinars-236-JdOL-00shnA,,aosrd-webinars-236-JdOL-00shnA,https://aosrd.org/chronic-fatigue-syndrome/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-055,missing_or_invalid_authorization_state,erc-4.5-pdf-055-aosrd-webinars-237-p59K6kGBP-Y,,aosrd-webinars-237-p59K6kGBP-Y,https://aosrd.org/integrative-immuno-oncology-salaheldin-halasa-md/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-056,missing_or_invalid_authorization_state,erc-4.5-pdf-056-aosrd-webinars-238-oMjTc20O6Ps,,aosrd-webinars-238-oMjTc20O6Ps,https://aosrd.org/wp-content/uploads/2022/03/What-I-learned-from-the-Osteopathic-Masters-and....-Richwine-William-final-2022.0301-pdf.pdf,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-057,missing_or_invalid_authorization_state,erc-4.5-pdf-057-aosrd-webinars-241-nqr6cW4Gw_A,,aosrd-webinars-241-nqr6cW4Gw_A,https://aosrd.org/wp-content/uploads/2022/06/The-Future-of-Biological-Dentistry-by-Dr-Scott-Chandler.pdf,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-058,missing_or_invalid_authorization_state,erc-4.5-pdf-058-aosrd-webinars-242-tiIDS69FRkQ,,aosrd-webinars-242-tiIDS69FRkQ,https://aosrd.org/pairing-nutrition-with-regenerative-medicine-by-dr-brad-watts/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-059,missing_or_invalid_authorization_state,erc-4.5-pdf-059-aosrd-webinars-244-DwiLCdt69H4,,aosrd-webinars-244-DwiLCdt69H4,https://aosrd.org/solutions-on-suicide-january-18-2022-by-joel-peterson/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-060,missing_or_invalid_authorization_state,erc-4.5-pdf-060-aosrd-webinars-245-y3Fz32zWP10,,aosrd-webinars-245-y3Fz32zWP10,https://aosrd.org/hypo-and-hyperthyroidism-are-one-internal-disease/,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-061,missing_or_invalid_authorization_state,erc-4.5-pdf-061-aosrd-webinars-249-3mTLksPwJyo,,aosrd-webinars-249-3mTLksPwJyo,https://aosrd.org/wp-content/uploads/2021/12/Mold-and-Mycotoxins-1021.pdf,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-062,missing_or_invalid_authorization_state,erc-4.5-pdf-062-aosrd-webinars-261-qVX_h6blAQw,,aosrd-webinars-261-qVX_h6blAQw,https://aosrd.org/wp-content/uploads/2021/09/PowerPoint-for-Doctors-Terri-Jay-2.pdf,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-063,missing_or_invalid_authorization_state,erc-4.5-pdf-063-aosrd-webinars-263-lCzuTx9LKnQ,,aosrd-webinars-263-lCzuTx9LKnQ,https://aosrd.org/wp-content/uploads/2021/08/Chronic-Fatigue-Syndrome-ASORD-1.pdf,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-064,missing_or_invalid_authorization_state,erc-4.5-pdf-064-aosrd-webinars-268-2cecK4Jk2vw,,aosrd-webinars-268-2cecK4Jk2vw,https://aosrd.org/wp-content/uploads/2021/07/Genetic-Snips-and-COVID-19-Severity-7.6.21.pdf,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-065,missing_or_invalid_authorization_state,erc-4.5-pdf-065-aosrd-webinars-280-gLzMZA_eM5g,,aosrd-webinars-280-gLzMZA_eM5g,https://aosrd.org/wp-content/uploads/2021/06/Immune-Peptides-w-Intro.pdf,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
EX-AUTH-ERC-066,missing_or_invalid_authorization_state,erc-4.5-pdf-066-aosrd-webinars-283-cxoIpMhdeJw,,aosrd-webinars-283-cxoIpMhdeJw,https://aosrd.org/wp-content/uploads/2021/04/Post-Covid-19-Vaccine-Toxic-Syndrome.pdf,authorization_state='pending' decision='NEEDS_HUMAN_SCOPING' classified=PENDING,true
