erc_id,erc_short_id,authorization_state,catalog_record_id,representation_type,external_url_original,external_url_canonical,acquisition_unit_id,local_path,sha256,acquisition_status,relationship_role,notes
erc-4.5-pdf-029-aosrd-webinars-185-AZvxTJWqeBA,ERC-029,AUTHORIZE,aosrd-webinars-185-AZvxTJWqeBA,AOSRD_PDF,https://aosrd.org/glutathione-update-with-dr-nayan-patel/,https://aosrd.org/glutathione-update-with-dr-nayan-patel/,AU-015,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-030-aosrd-webinars-186-hUswEBL-LBc,ERC-030,DEFER,aosrd-webinars-186-hUswEBL-LBc,AOSRD_PDF,https://aosrd.org/update-on-glutathione-therapy-with-dr-nayan-patel/,https://aosrd.org/update-on-glutathione-therapy-with-dr-nayan-patel/,,,,not_acquired,not_authorized_for_acquisition,no acquisition without AUTHORIZE
erc-4.5-pdf-031-aosrd-webinars-189-bMobTwHmWhM,ERC-031,DEFER,aosrd-webinars-189-bMobTwHmWhM,AOSRD_PDF,https://aosrd.org/integrative-immunology-with-dr-benoit-tano/,https://aosrd.org/integrative-immunology-with-dr-benoit-tano/,,,,not_acquired,not_authorized_for_acquisition,no acquisition without AUTHORIZE
erc-4.5-pdf-032-aosrd-webinars-190-5hQ-anaFGIU,ERC-032,AUTHORIZE,aosrd-webinars-190-5hQ-anaFGIU,AOSRD_PDF,https://aosrd.org/the-ancestral-diet-as-treatment-for-chronic-disease-with-stefan-hartmann-pa/,https://aosrd.org/the-ancestral-diet-as-treatment-for-chronic-disease-with-stefan-hartmann-pa/,AU-033,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-033-aosrd-webinars-191-ZrOMyfW29og,ERC-033,DEFER,aosrd-webinars-191-ZrOMyfW29og,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2023/01/Interpretation-of-test-results-.pdf,https://aosrd.org/wp-content/uploads/2023/01/Interpretation-of-test-results-.pdf,,,,not_acquired,not_authorized_for_acquisition,no acquisition without AUTHORIZE
erc-4.5-pdf-034-aosrd-webinars-193-3HKa-GZK_Qw,ERC-034,AUTHORIZE,aosrd-webinars-193-3HKa-GZK_Qw,AOSRD_PDF,https://aosrd.org/menopause-the-impact-on-skin-and-hair-by-dr-felice-gersh/,https://aosrd.org/menopause-the-impact-on-skin-and-hair-by-dr-felice-gersh/,AU-023,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-035-aosrd-webinars-195-i-q4BtUNVuI,ERC-035,AUTHORIZE,aosrd-webinars-195-i-q4BtUNVuI,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2023/01/14-3-3eta_AOSIM_Final_2023.pdf,https://aosrd.org/wp-content/uploads/2023/01/14-3-3eta_AOSIM_Final_2023.pdf,AU-048,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-036-aosrd-webinars-196-Td9ybE_W-wU,ERC-036,AUTHORIZE,aosrd-webinars-196-Td9ybE_W-wU,AOSRD_PDF,https://aosrd.org/the-role-of-the-renin-angiotensin-components-in-atherosclerosis-with-dr-james-joseph/,https://aosrd.org/the-role-of-the-renin-angiotensin-components-in-atherosclerosis-with-dr-james-joseph/,AU-038,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-037-aosrd-webinars-197-92sBrfKcyfE,ERC-037,DEFER,aosrd-webinars-197-92sBrfKcyfE,AOSRD_PDF,https://aosrd.org/oxytocin-utilization-in-chronic-disease-management-with-dr-salaheldin-halasa/,https://aosrd.org/oxytocin-utilization-in-chronic-disease-management-with-dr-salaheldin-halasa/,,,,not_acquired,not_authorized_for_acquisition,no acquisition without AUTHORIZE
erc-4.5-pdf-038-aosrd-webinars-198-fwLHIoDOipY,ERC-038,AUTHORIZE,aosrd-webinars-198-fwLHIoDOipY,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2022/12/The-Role-of-Nutrition-and-Prevention-1.pdf,https://aosrd.org/wp-content/uploads/2022/12/The-Role-of-Nutrition-and-Prevention-1.pdf,AU-047,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-039-aosrd-webinars-199-GpYX1_vmLFI,ERC-039,AUTHORIZE,aosrd-webinars-199-GpYX1_vmLFI,AOSRD_PDF,https://aosrd.org/fracture-proof-your-bones-a-comprehensive-guide-to-osteoporosis-with-dr-john-neustadt/,https://aosrd.org/fracture-proof-your-bones-a-comprehensive-guide-to-osteoporosis-with-dr-john-neustadt/,AU-012,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-040-aosrd-webinars-200-8vtxAVALprY,ERC-040,AUTHORIZE,aosrd-webinars-200-8vtxAVALprY,AOSRD_PDF,https://aosrd.org/integrative-psychiatry-neurofeedback-and-the-treatment-resistant-patient-with-dr-john-finnick/,https://aosrd.org/integrative-psychiatry-neurofeedback-and-the-treatment-resistant-patient-with-dr-john-finnick/,AU-019,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-041-aosrd-webinars-201-8blzjFv9r8I,ERC-041,AUTHORIZE,aosrd-webinars-201-8blzjFv9r8I,AOSRD_PDF,https://aosrd.org/osteopathic-manipulation-in-pain-and-substance-abuse/,https://aosrd.org/osteopathic-manipulation-in-pain-and-substance-abuse/,AU-028,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-042-aosrd-webinars-202-x6BIrL8qmzk,ERC-042,AUTHORIZE,aosrd-webinars-202-x6BIrL8qmzk,AOSRD_PDF,https://aosrd.org/oxytocin-utilization-in-chronic-disease-management-with-dr-salaheldin-halasa/,https://aosrd.org/oxytocin-utilization-in-chronic-disease-management-with-dr-salaheldin-halasa/,AU-029,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-043-aosrd-webinars-203-4u_3c_lFUzs,ERC-043,AUTHORIZE,aosrd-webinars-203-4u_3c_lFUzs,AOSRD_PDF,https://aosrd.org/type-1-diabetes-outcomes-therapies-and-future-innovations-with-dr-andrew-koutnik/,https://aosrd.org/type-1-diabetes-outcomes-therapies-and-future-innovations-with-dr-andrew-koutnik/,AU-039,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-044-aosrd-webinars-204-Qy2mrgSpVNg,ERC-044,AUTHORIZE,aosrd-webinars-204-Qy2mrgSpVNg,AOSRD_PDF,https://aosrd.org/the-positive-side-of-the-plummeting-health-index-in-america/,https://aosrd.org/the-positive-side-of-the-plummeting-health-index-in-america/,AU-037,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-045-aosrd-webinars-207-0cBElywMkUY,ERC-045,AUTHORIZE,aosrd-webinars-207-0cBElywMkUY,AOSRD_PDF,https://aosrd.org/plasmalogens-brain-health-and-longevity-what-every-integrative-and-osteopathic-physician-needs-to-know-by-dr-dayan-goodenowe/,https://aosrd.org/plasmalogens-brain-health-and-longevity-what-every-integrative-and-osteopathic-physician-needs-to-know-by-dr-dayan-goodenowe/,AU-031,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-046-aosrd-webinars-209-728P3vA7hsU,ERC-046,AUTHORIZE,aosrd-webinars-209-728P3vA7hsU,AOSRD_PDF,https://aosrd.org/molds-mycotoxins-and-the-brain-an-evidenced-based-presentation-by-dr-andrew-campbell/,https://aosrd.org/molds-mycotoxins-and-the-brain-an-evidenced-based-presentation-by-dr-andrew-campbell/,AU-025,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-047-aosrd-webinars-214-Zf7hlrZ7Ljo,ERC-047,AUTHORIZE,aosrd-webinars-214-Zf7hlrZ7Ljo,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2022/08/Clinical-Manifestations-on-Gut-Brain-Connections.pdf,https://aosrd.org/wp-content/uploads/2022/08/Clinical-Manifestations-on-Gut-Brain-Connections.pdf,AU-046,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-048-aosrd-webinars-224-qORv5ARtglk,ERC-048,AUTHORIZE,aosrd-webinars-224-qORv5ARtglk,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2022/06/The-Future-of-Biological-Dentistry-by-Dr-Scott-Chandler.pdf,https://aosrd.org/wp-content/uploads/2022/06/The-Future-of-Biological-Dentistry-by-Dr-Scott-Chandler.pdf,AU-045,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-049-aosrd-webinars-230-P7DyhMvm0SA,ERC-049,AUTHORIZE,aosrd-webinars-230-P7DyhMvm0SA,AOSRD_PDF,https://aosrd.org/anti-aging-medicine-with-dr-mikhail-berman/,https://aosrd.org/anti-aging-medicine-with-dr-mikhail-berman/,AU-002,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-050-aosrd-webinars-232-rqFCphSMW1o,ERC-050,AUTHORIZE,aosrd-webinars-232-rqFCphSMW1o,AOSRD_PDF,https://aosrd.org/integrative-medicine-and-the-law-by-judge-egan-walker/,https://aosrd.org/integrative-medicine-and-the-law-by-judge-egan-walker/,AU-018,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-051-aosrd-webinars-233-GFCg9tySvGI,ERC-051,AUTHORIZE,aosrd-webinars-233-GFCg9tySvGI,AOSRD_PDF,https://aosrd.org/new-horizons-in-cancer-treatment-kalapana-patel-md/,https://aosrd.org/new-horizons-in-cancer-treatment-kalapana-patel-md/,AU-026,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-052-aosrd-webinars-234-5xpAcQ8J7hE,ERC-052,AUTHORIZE,aosrd-webinars-234-5xpAcQ8J7hE,AOSRD_PDF,https://aosrd.org/frequency-specific-microcurrent-by-carol-mcmakin-madc/,https://aosrd.org/frequency-specific-microcurrent-by-carol-mcmakin-madc/,AU-013,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-053-aosrd-webinars-235-4ErgdNqYbRc,ERC-053,DEFER,aosrd-webinars-235-4ErgdNqYbRc,AOSRD_PDF,https://aosrd.org/integrative-immuno-oncology-salaheldin-halasa-md/,https://aosrd.org/integrative-immuno-oncology-salaheldin-halasa-md/,,,,not_acquired,not_authorized_for_acquisition,no acquisition without AUTHORIZE
erc-4.5-pdf-054-aosrd-webinars-236-JdOL-00shnA,ERC-054,AUTHORIZE,aosrd-webinars-236-JdOL-00shnA,AOSRD_PDF,https://aosrd.org/chronic-fatigue-syndrome/,https://aosrd.org/chronic-fatigue-syndrome/,AU-007,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-055-aosrd-webinars-237-p59K6kGBP-Y,ERC-055,DEFER,aosrd-webinars-237-p59K6kGBP-Y,AOSRD_PDF,https://aosrd.org/integrative-immuno-oncology-salaheldin-halasa-md/,https://aosrd.org/integrative-immuno-oncology-salaheldin-halasa-md/,,,,not_acquired,not_authorized_for_acquisition,no acquisition without AUTHORIZE
erc-4.5-pdf-056-aosrd-webinars-238-oMjTc20O6Ps,ERC-056,AUTHORIZE,aosrd-webinars-238-oMjTc20O6Ps,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2022/03/What-I-learned-from-the-Osteopathic-Masters-and....-Richwine-William-final-2022.0301-pdf.pdf,https://aosrd.org/wp-content/uploads/2022/03/What-I-learned-from-the-Osteopathic-Masters-and....-Richwine-William-final-2022.0301-pdf.pdf,AU-044,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-057-aosrd-webinars-241-nqr6cW4Gw_A,ERC-057,DEFER,aosrd-webinars-241-nqr6cW4Gw_A,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2022/06/The-Future-of-Biological-Dentistry-by-Dr-Scott-Chandler.pdf,https://aosrd.org/wp-content/uploads/2022/06/The-Future-of-Biological-Dentistry-by-Dr-Scott-Chandler.pdf,,,,not_acquired,not_authorized_for_acquisition,no acquisition without AUTHORIZE
erc-4.5-pdf-058-aosrd-webinars-242-tiIDS69FRkQ,ERC-058,AUTHORIZE,aosrd-webinars-242-tiIDS69FRkQ,AOSRD_PDF,https://aosrd.org/pairing-nutrition-with-regenerative-medicine-by-dr-brad-watts/,https://aosrd.org/pairing-nutrition-with-regenerative-medicine-by-dr-brad-watts/,AU-030,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-059-aosrd-webinars-244-DwiLCdt69H4,ERC-059,AUTHORIZE,aosrd-webinars-244-DwiLCdt69H4,AOSRD_PDF,https://aosrd.org/solutions-on-suicide-january-18-2022-by-joel-peterson/,https://aosrd.org/solutions-on-suicide-january-18-2022-by-joel-peterson/,AU-032,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-060-aosrd-webinars-245-y3Fz32zWP10,ERC-060,AUTHORIZE,aosrd-webinars-245-y3Fz32zWP10,AOSRD_PDF,https://aosrd.org/hypo-and-hyperthyroidism-are-one-internal-disease/,https://aosrd.org/hypo-and-hyperthyroidism-are-one-internal-disease/,AU-017,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-061-aosrd-webinars-249-3mTLksPwJyo,ERC-061,AUTHORIZE,aosrd-webinars-249-3mTLksPwJyo,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2021/12/Mold-and-Mycotoxins-1021.pdf,https://aosrd.org/wp-content/uploads/2021/12/Mold-and-Mycotoxins-1021.pdf,AU-043,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-062-aosrd-webinars-261-qVX_h6blAQw,ERC-062,AUTHORIZE,aosrd-webinars-261-qVX_h6blAQw,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2021/09/PowerPoint-for-Doctors-Terri-Jay-2.pdf,https://aosrd.org/wp-content/uploads/2021/09/PowerPoint-for-Doctors-Terri-Jay-2.pdf,AU-042,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-063-aosrd-webinars-263-lCzuTx9LKnQ,ERC-063,AUTHORIZE,aosrd-webinars-263-lCzuTx9LKnQ,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2021/08/Chronic-Fatigue-Syndrome-ASORD-1.pdf,https://aosrd.org/wp-content/uploads/2021/08/Chronic-Fatigue-Syndrome-ASORD-1.pdf,AU-041,,,planned,sole_authorization,representation reuse ≠ session identity
erc-4.5-pdf-064-aosrd-webinars-268-2cecK4Jk2vw,ERC-064,DENY,aosrd-webinars-268-2cecK4Jk2vw,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2021/07/Genetic-Snips-and-COVID-19-Severity-7.6.21.pdf,https://aosrd.org/wp-content/uploads/2021/07/Genetic-Snips-and-COVID-19-Severity-7.6.21.pdf,,,,not_acquired,not_authorized_for_acquisition,no acquisition without AUTHORIZE
erc-4.5-pdf-065-aosrd-webinars-280-gLzMZA_eM5g,ERC-065,DEFER,aosrd-webinars-280-gLzMZA_eM5g,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2021/06/Immune-Peptides-w-Intro.pdf,https://aosrd.org/wp-content/uploads/2021/06/Immune-Peptides-w-Intro.pdf,,,,not_acquired,not_authorized_for_acquisition,no acquisition without AUTHORIZE
erc-4.5-pdf-066-aosrd-webinars-283-cxoIpMhdeJw,ERC-066,DENY,aosrd-webinars-283-cxoIpMhdeJw,AOSRD_PDF,https://aosrd.org/wp-content/uploads/2021/04/Post-Covid-19-Vaccine-Toxic-Syndrome.pdf,https://aosrd.org/wp-content/uploads/2021/04/Post-Covid-19-Vaccine-Toxic-Syndrome.pdf,,,,not_acquired,not_authorized_for_acquisition,no acquisition without AUTHORIZE
