erc_id,erc_short_id,catalog_record_id,primary_representation_url,human_decision,authorization_state,decision,human_authorization_record,notes
erc-4.5-pdf-015-aosrd-webinars-166-RM39JRpthTg,ERC-015,aosrd-webinars-166-RM39JRpthTg,https://aosrd.org/wp-content/uploads/2023/07/Pharmacology-of-Emerging-Therapies-in-Chronic-Disease-Management-2023.pdf,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-016-aosrd-webinars-169-xIY-4j04zh0,ERC-016,aosrd-webinars-169-xIY-4j04zh0,https://aosrd.org/live-healthier-better-and-longer-with-hydrogen-by-bob-settineri/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-017-aosrd-webinars-170-hj4CXKqCtkg,ERC-017,aosrd-webinars-170-hj4CXKqCtkg,https://aosrd.org/the-incretin-hormones-and-the-new-face-of-weight-loss-with-dr-william-clearfield/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-018-aosrd-webinars-171-wSFbd7D8Lpw,ERC-018,aosrd-webinars-171-wSFbd7D8Lpw,https://aosrd.org/integrative-imunity-part-2-dr-benoit-tano/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-019-aosrd-webinars-172-aPPCKg2l-eQ,ERC-019,aosrd-webinars-172-aPPCKg2l-eQ,https://aosrd.org/everything-you-ever-wanted-to-peptides-with-dr-jay-campbell/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-020-aosrd-webinars-173-yAA5qJFYPgg,ERC-020,aosrd-webinars-173-yAA5qJFYPgg,https://aosrd.org/the-importance-of-polysacchari-unction-with-dr-john-e-lewis/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-021-aosrd-webinars-174-LcK7emnFeVk,ERC-021,aosrd-webinars-174-LcK7emnFeVk,https://aosrd.org/clinical-applications-of-amlexonax/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-022-aosrd-webinars-175-wTPrdOyALx0,ERC-022,aosrd-webinars-175-wTPrdOyALx0,https://aosrd.org/ehlers-danlos-syndrome-treated-with-frequency-specific-microcurrant-by-dr-carol-mcmakin/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-023-aosrd-webinars-178-D7o1Fdgy42o,ERC-023,aosrd-webinars-178-D7o1Fdgy42o,https://aosrd.org/cannabis-101-with-dr-kent-crowley/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-024-aosrd-webinars-179-9suZ_6zVHEM,ERC-024,aosrd-webinars-179-9suZ_6zVHEM,https://aosrd.org/methylene-blue-with-dr-bill-clearfield/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-025-aosrd-webinars-180-XS22Ub34U-o,ERC-025,aosrd-webinars-180-XS22Ub34U-o,https://aosrd.org/autism-with-dr-jenny-blanchard-stone/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-026-aosrd-webinars-182-FsuYMzPyjWE,ERC-026,aosrd-webinars-182-FsuYMzPyjWE,https://aosrd.org/the-new-face-of-weight-loss-with-dr-bill-clearfield/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-027-aosrd-webinars-183-CW3op9BkNI8,ERC-027,aosrd-webinars-183-CW3op9BkNI8,https://aosrd.org/behind-the-scenes-thyroid-mechanisms-with-dr-brad-watts/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-028-aosrd-webinars-184-4nZN4zvp_Uk,ERC-028,aosrd-webinars-184-4nZN4zvp_Uk,https://aosrd.org/bioregulatory-medicine-applied-to-fur-babies-with-dr-marlene-siegel/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-029-aosrd-webinars-185-AZvxTJWqeBA,ERC-029,aosrd-webinars-185-AZvxTJWqeBA,https://aosrd.org/glutathione-update-with-dr-nayan-patel/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-030-aosrd-webinars-186-hUswEBL-LBc,ERC-030,aosrd-webinars-186-hUswEBL-LBc,https://aosrd.org/update-on-glutathione-therapy-with-dr-nayan-patel/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-031-aosrd-webinars-189-bMobTwHmWhM,ERC-031,aosrd-webinars-189-bMobTwHmWhM,https://aosrd.org/integrative-immunology-with-dr-benoit-tano/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-032-aosrd-webinars-190-5hQ-anaFGIU,ERC-032,aosrd-webinars-190-5hQ-anaFGIU,https://aosrd.org/the-ancestral-diet-as-treatment-for-chronic-disease-with-stefan-hartmann-pa/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-033-aosrd-webinars-191-ZrOMyfW29og,ERC-033,aosrd-webinars-191-ZrOMyfW29og,https://aosrd.org/wp-content/uploads/2023/01/Interpretation-of-test-results-.pdf,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-034-aosrd-webinars-193-3HKa-GZK_Qw,ERC-034,aosrd-webinars-193-3HKa-GZK_Qw,https://aosrd.org/menopause-the-impact-on-skin-and-hair-by-dr-felice-gersh/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-035-aosrd-webinars-195-i-q4BtUNVuI,ERC-035,aosrd-webinars-195-i-q4BtUNVuI,https://aosrd.org/wp-content/uploads/2023/01/14-3-3eta_AOSIM_Final_2023.pdf,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-036-aosrd-webinars-196-Td9ybE_W-wU,ERC-036,aosrd-webinars-196-Td9ybE_W-wU,https://aosrd.org/the-role-of-the-renin-angiotensin-components-in-atherosclerosis-with-dr-james-joseph/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-037-aosrd-webinars-197-92sBrfKcyfE,ERC-037,aosrd-webinars-197-92sBrfKcyfE,https://aosrd.org/oxytocin-utilization-in-chronic-disease-management-with-dr-salaheldin-halasa/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-038-aosrd-webinars-198-fwLHIoDOipY,ERC-038,aosrd-webinars-198-fwLHIoDOipY,https://aosrd.org/wp-content/uploads/2022/12/The-Role-of-Nutrition-and-Prevention-1.pdf,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-039-aosrd-webinars-199-GpYX1_vmLFI,ERC-039,aosrd-webinars-199-GpYX1_vmLFI,https://aosrd.org/fracture-proof-your-bones-a-comprehensive-guide-to-osteoporosis-with-dr-john-neustadt/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-040-aosrd-webinars-200-8vtxAVALprY,ERC-040,aosrd-webinars-200-8vtxAVALprY,https://aosrd.org/integrative-psychiatry-neurofeedback-and-the-treatment-resistant-patient-with-dr-john-finnick/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-041-aosrd-webinars-201-8blzjFv9r8I,ERC-041,aosrd-webinars-201-8blzjFv9r8I,https://aosrd.org/osteopathic-manipulation-in-pain-and-substance-abuse/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-042-aosrd-webinars-202-x6BIrL8qmzk,ERC-042,aosrd-webinars-202-x6BIrL8qmzk,https://aosrd.org/oxytocin-utilization-in-chronic-disease-management-with-dr-salaheldin-halasa/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-043-aosrd-webinars-203-4u_3c_lFUzs,ERC-043,aosrd-webinars-203-4u_3c_lFUzs,https://aosrd.org/type-1-diabetes-outcomes-therapies-and-future-innovations-with-dr-andrew-koutnik/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-044-aosrd-webinars-204-Qy2mrgSpVNg,ERC-044,aosrd-webinars-204-Qy2mrgSpVNg,https://aosrd.org/the-positive-side-of-the-plummeting-health-index-in-america/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-045-aosrd-webinars-207-0cBElywMkUY,ERC-045,aosrd-webinars-207-0cBElywMkUY,https://aosrd.org/plasmalogens-brain-health-and-longevity-what-every-integrative-and-osteopathic-physician-needs-to-know-by-dr-dayan-goodenowe/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-046-aosrd-webinars-209-728P3vA7hsU,ERC-046,aosrd-webinars-209-728P3vA7hsU,https://aosrd.org/molds-mycotoxins-and-the-brain-an-evidenced-based-presentation-by-dr-andrew-campbell/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-047-aosrd-webinars-214-Zf7hlrZ7Ljo,ERC-047,aosrd-webinars-214-Zf7hlrZ7Ljo,https://aosrd.org/wp-content/uploads/2022/08/Clinical-Manifestations-on-Gut-Brain-Connections.pdf,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-048-aosrd-webinars-224-qORv5ARtglk,ERC-048,aosrd-webinars-224-qORv5ARtglk,https://aosrd.org/wp-content/uploads/2022/06/The-Future-of-Biological-Dentistry-by-Dr-Scott-Chandler.pdf,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-049-aosrd-webinars-230-P7DyhMvm0SA,ERC-049,aosrd-webinars-230-P7DyhMvm0SA,https://aosrd.org/anti-aging-medicine-with-dr-mikhail-berman/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-050-aosrd-webinars-232-rqFCphSMW1o,ERC-050,aosrd-webinars-232-rqFCphSMW1o,https://aosrd.org/integrative-medicine-and-the-law-by-judge-egan-walker/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-051-aosrd-webinars-233-GFCg9tySvGI,ERC-051,aosrd-webinars-233-GFCg9tySvGI,https://aosrd.org/new-horizons-in-cancer-treatment-kalapana-patel-md/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-052-aosrd-webinars-234-5xpAcQ8J7hE,ERC-052,aosrd-webinars-234-5xpAcQ8J7hE,https://aosrd.org/frequency-specific-microcurrent-by-carol-mcmakin-madc/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-053-aosrd-webinars-235-4ErgdNqYbRc,ERC-053,aosrd-webinars-235-4ErgdNqYbRc,https://aosrd.org/integrative-immuno-oncology-salaheldin-halasa-md/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-054-aosrd-webinars-236-JdOL-00shnA,ERC-054,aosrd-webinars-236-JdOL-00shnA,https://aosrd.org/chronic-fatigue-syndrome/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-055-aosrd-webinars-237-p59K6kGBP-Y,ERC-055,aosrd-webinars-237-p59K6kGBP-Y,https://aosrd.org/integrative-immuno-oncology-salaheldin-halasa-md/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-056-aosrd-webinars-238-oMjTc20O6Ps,ERC-056,aosrd-webinars-238-oMjTc20O6Ps,https://aosrd.org/wp-content/uploads/2022/03/What-I-learned-from-the-Osteopathic-Masters-and....-Richwine-William-final-2022.0301-pdf.pdf,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-057-aosrd-webinars-241-nqr6cW4Gw_A,ERC-057,aosrd-webinars-241-nqr6cW4Gw_A,https://aosrd.org/wp-content/uploads/2022/06/The-Future-of-Biological-Dentistry-by-Dr-Scott-Chandler.pdf,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-058-aosrd-webinars-242-tiIDS69FRkQ,ERC-058,aosrd-webinars-242-tiIDS69FRkQ,https://aosrd.org/pairing-nutrition-with-regenerative-medicine-by-dr-brad-watts/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-059-aosrd-webinars-244-DwiLCdt69H4,ERC-059,aosrd-webinars-244-DwiLCdt69H4,https://aosrd.org/solutions-on-suicide-january-18-2022-by-joel-peterson/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-060-aosrd-webinars-245-y3Fz32zWP10,ERC-060,aosrd-webinars-245-y3Fz32zWP10,https://aosrd.org/hypo-and-hyperthyroidism-are-one-internal-disease/,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-061-aosrd-webinars-249-3mTLksPwJyo,ERC-061,aosrd-webinars-249-3mTLksPwJyo,https://aosrd.org/wp-content/uploads/2021/12/Mold-and-Mycotoxins-1021.pdf,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-062-aosrd-webinars-261-qVX_h6blAQw,ERC-062,aosrd-webinars-261-qVX_h6blAQw,https://aosrd.org/wp-content/uploads/2021/09/PowerPoint-for-Doctors-Terri-Jay-2.pdf,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-063-aosrd-webinars-263-lCzuTx9LKnQ,ERC-063,aosrd-webinars-263-lCzuTx9LKnQ,https://aosrd.org/wp-content/uploads/2021/08/Chronic-Fatigue-Syndrome-ASORD-1.pdf,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-064-aosrd-webinars-268-2cecK4Jk2vw,ERC-064,aosrd-webinars-268-2cecK4Jk2vw,https://aosrd.org/wp-content/uploads/2021/07/Genetic-Snips-and-COVID-19-Severity-7.6.21.pdf,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-065-aosrd-webinars-280-gLzMZA_eM5g,ERC-065,aosrd-webinars-280-gLzMZA_eM5g,https://aosrd.org/wp-content/uploads/2021/06/Immune-Peptides-w-Intro.pdf,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
erc-4.5-pdf-066-aosrd-webinars-283-cxoIpMhdeJw,ERC-066,aosrd-webinars-283-cxoIpMhdeJw,https://aosrd.org/wp-content/uploads/2021/04/Post-Covid-19-Vaccine-Toxic-Syndrome.pdf,,,,,"Fill human_decision with AUTHORIZE, DEFER, or DENY; do not leave blank"
