web_record_id,source,original_title,normalized_title,web_date,youtube_id,aosrd_url,pdf_url,candidate_otter_id,otter_date,otter_packet_dir,otter_original_title,otter_enriched_title,otter_processed,screenshot_count,match_class,match_reason,title_similarity,date_relationship,speaker_relationship,variant_flag,needs_human_review,web_speakers,topic_hits
aosrd-webinars-012-EcAxOut2zBI,aosrd_webinars_youtube,"Everyone Knows Someone with Cancer, What Can We Do About it with – Video – 17 June 2026",everyone knows someone with cancer what can we do about it with - - 17 june 2026,2026-06-17,EcAxOut2zBI,https://aosrd.org/webinars/,,avbRWMav2fwgobz9r7HjwR4z44I,2026-06-02,Research/lectures/clearfield-webinar-2026-06-02,Tuesday Integrative Health Webinar,"Tuesday Integrative Health Webinar — June 2, 2026: Cancer Destruction Kits & Low-Dose Colchicine (Nicholas St. John)",True,72,possible,topic/title similarity; insufficient independent evidence,0.269,same_month,aligned,no,yes,Cancer,"2026,cancer"
aosrd-webinars-013-U2sLxeOYnFU,aosrd_webinars_youtube,The Histology of Morgellons Nobody’s Talking About – Video,the histology of morgellons nobody s talking about -,,U2sLxeOYnFU,https://aosrd.org/webinars/,,,,,,,,,no_match,no reasonable otter candidate,,unknown,unknown,no,yes,,
aosrd-webinars-014-OOyPAmbcz0U,aosrd_webinars_youtube,Video – 19 May 2026,- 19 may 2026,2026-05-19,OOyPAmbcz0U,https://aosrd.org/webinars/,,SiB7Ifahh4_dfJVERQgP60auXjw,2026-05-19,Research/lectures/clearfield-webinar-2026-05-19,Tuesday Integrative Health Webinar,"Tuesday Integrative Health Webinar — May 19, 2026: Quantum Ayurveda & Acoustic-Resonance Bioavailability (Meletis / Varanasi)",True,113,possible,date-aligned but web title too generic for identity claim,0.25,exact,unknown,no,yes,,2026
aosrd-webinars-014-OOyPAmbcz0U,aosrd_webinars_youtube,Video – 19 May 2026,- 19 may 2026,2026-05-19,OOyPAmbcz0U,https://aosrd.org/webinars/,,H1Iomsee4ZUONKKezPDcMBYCvQ0,2026-06-30,Research/lectures/clearfield-webinar-2026-06-30,Tuesday Integrative Health Webinar,"Tuesday Integrative Health Webinar — June 30, 2026",True,,possible,topic/title similarity; insufficient independent evidence,0.593,adjacent_month,unknown,no,yes,,2026
aosrd-webinars-014-OOyPAmbcz0U,aosrd_webinars_youtube,Video – 19 May 2026,- 19 may 2026,2026-05-19,OOyPAmbcz0U,https://aosrd.org/webinars/,,noIHLP-haQRngsIwy5mlPxVj6SM,2026-02-18,Research/lectures/clearfield-webinar-2026-02-18,Tuesday Integrative Health Webinar,"Tuesday Integrative Health Webinar — February 18, 2026",True,43,possible,topic/title similarity; insufficient independent evidence,0.516,divergent,unknown,no,yes,,2026
aosrd-webinars-015-vngXuAjbS-4,aosrd_webinars_youtube,The Direct Primary Care Practice Model-How to Do It with Stefan Hartmann – Video – 12 May 2026,the direct primary care practice model-how to do it with stefan hartmann - - 12 may 2026,2026-05-12,vngXuAjbS-4,https://aosrd.org/webinars/,,7f1TOn8POnM4I7k7Kv04F-ZbcYA,2026-05-12,Research/lectures/clearfield-webinar-2026-05-12,Tuesday Integrative Health Webinar,"Tuesday Integrative Health Webinar — May 12, 2026: Building a DPC Practice (Stefan Hartman)",True,38,strong,exact session date + substantive topic/title evidence,0.386,exact,aligned,no,no,Stefan Hartmann,"2026,care,direct,practice,primary,stefan"
aosrd-webinars-015-vngXuAjbS-4,aosrd_webinars_youtube,The Direct Primary Care Practice Model-How to Do It with Stefan Hartmann – Video – 12 May 2026,the direct primary care practice model-how to do it with stefan hartmann - - 12 may 2026,2026-05-12,vngXuAjbS-4,https://aosrd.org/webinars/,,P7cEH8dwjVWTUDcsolAayRGqqp4,2024-10-29,Research/lectures/clearfield-webinar-2024-10-29,Tuesday Integrative Health Webinar,Tuesday Integrative Health Webinar — Cash-Based Practice / Stairway System (Gallogly),True,110,possible,topic/title similarity; insufficient independent evidence,0.324,divergent,aligned,no,yes,Stefan Hartmann,"practice,stefan"
aosrd-webinars-016-VbIvp2bY8xs,aosrd_webinars_youtube,What If Aging is the Real Disease with Dr Bill Andrews and Sonny Ngyuen – Video – 6 May 2026,what if aging is the real disease with dr bill andrews and sonny ngyuen - - 6 may 2026,2026-05-06,VbIvp2bY8xs,https://aosrd.org/webinars/,,l416W8yP4i7dv3Jhd5H2F74zMnU,2026-01-21,Research/lectures/clearfield-webinar-2026-01-21,Tuesday Integrative Health Webinar,"Tuesday Integrative Health Webinar — January 21, 2026: Telomeres, Telomerase & How Not to Age (Bill Andrews)",True,122,possible,topic/title similarity; insufficient independent evidence,0.351,divergent,aligned,no,yes,Bill Andrews,"2026,aging,andrews,what"
aosrd-webinars-016-VbIvp2bY8xs,aosrd_webinars_youtube,What If Aging is the Real Disease with Dr Bill Andrews and Sonny Ngyuen – Video – 6 May 2026,what if aging is the real disease with dr bill andrews and sonny ngyuen - - 6 may 2026,2026-05-06,VbIvp2bY8xs,https://aosrd.org/webinars/,,ajVChHpkQS72kcrtN9J03lwNFZ0,2026-04-28,Research/lectures/clearfield-webinar-2026-04-28,Tuesday Integrative Health Webinar,"Tuesday Integrative Health Webinar — April 28, 2026: Telomeres & How Not to Age (Bill Andrews)",True,154,possible,topic/title similarity; insufficient independent evidence,0.284,compatible_8d,aligned,no,yes,Bill Andrews,"2026,aging,andrews,disease,sonny"
aosrd-webinars-017-1h0pTWQFHGQ,aosrd_webinars_youtube,The Coimbra Protocol-High Dose Vitamin D for Autoimmune Disease Relief – Video – 6 May 2026,the coimbra protocol-high dose vitamin d for autoimmune disease relief - - 6 may 2026,2026-05-06,1h0pTWQFHGQ,https://aosrd.org/webinars/,,dBggaNSwAGYqDBG1O_hdE5Zo1CY,2025-12-03,Research/lectures/clearfield-webinar-2025-12-03,Tuesday Integrative Health Webinar,"Tuesday Integrative Health Webinar — December 3, 2025: Coimbra Protocol (High-Dose Vitamin D for Autoimmunity)",True,124,possible,topic/title similarity; insufficient independent evidence,0.667,divergent,unknown,no,yes,,"autoimmune,coimbra,disease,vitamin"
aosrd-webinars-018-239fPv2g6VI,aosrd_webinars_youtube,Estrogen-Devil or Angel​ – Video – 8 Apr 2026,estrogen-devil or angel - - 8 apr 2026,2026-04-08,239fPv2g6VI,https://aosrd.org/webinars/,,,,,,,,,no_match,no reasonable otter candidate,,no_candidate,unknown,no,yes,,
aosrd-webinars-019-D_j_SYnDRBM,aosrd_webinars_youtube,The Multifocal Cardiogram-Artifical Intelligence Meets the EKG with Dr. Sam Fillingane​ – Video – March 2026,the multifocal cardiogram-artifical intelligence meets the ekg with dr sam fillingane - - march 2026,,D_j_SYnDRBM,https://aosrd.org/webinars/,,iFe-Jl__wpKT9UKu7NZMWLiMJ5w,2026-03-31,Research/lectures/clearfield-webinar-2026-03-31,Tuesday Integrative Health Webinar,"Tuesday Integrative Health Webinar — March 31, 2026: Vitamin K Metabolism & Multifunctional Cardiogram (MCG)",True,51,possible,topic/title similarity; insufficient independent evidence,0.308,unknown,aligned,no,yes,Sam Fillingane,"2026,fillingane"
aosrd-webinars-020-IHGfQHUyCaY,aosrd_webinars_youtube,Battlefield Acupuncture with Dr Bill Clearfield​ – Video – March 2026,battlefield acupuncture with dr bill clearfield - - march 2026,,IHGfQHUyCaY,https://aosrd.org/webinars/,,MgYpfjiYtlaKaW_z2gwloZSPQ5o,2026-01-28,Research/lectures/clearfield-webinar-2026-01-28,Tuesday Integrative Health Webinar,"Tuesday Integrative Health Webinar — January 28, 2026: LL-37 Tip & Battlefield Acupuncture",True,217,possible,topic/title similarity; insufficient independent evidence,0.4,unknown,aligned,no,yes,Bill Clearfield,"2026,acupuncture,battlefield"
aosrd-webinars-021-aGltKy2mBBo,aosrd_webinars_youtube,"Frequency, Sound and Autonomic Regulation with Margarita Xistris​ – Video – 3 March 2026",frequency sound and autonomic regulation with margarita xistris - - 3 march 2026,2026-03-03,aGltKy2mBBo,https://aosrd.org/webinars/,,RaBBFKZC2Aa5zl5VmBwF_n4Zwk8,2026-03-04,Research/lectures/clearfield-webinar-2026-03-04,Tuesday Integrative Health Webinar,"Tuesday Integrative Health Webinar — March 4, 2026: Frequency, Autonomic Regulation & PEMF (Cerna / Franz)",True,89,strong,near date + speaker + topic evidence,0.521,near_1d,aligned,no,no,Margarita Xistris,"2026,autonomic,frequency,margarita,regulation,sound"
aosrd-webinars-022-Qnnc8l-_VKI,aosrd_webinars_youtube,"Sunshine, Light and Why EMF Protection is More than Skin Deep with Dan Stachofsky​ – Video – 25 March 2026",sunshine light and why emf electromagnetic field protection is more than skin deep with dan stachofsky - - 25 march 2026,2026-03-25,Qnnc8l-_VKI,https://aosrd.org/webinars/,,,,,,,,,no_match,no reasonable otter candidate,,no_candidate,unknown,no,yes,Dan Stachofsky,
aosrd-webinars-023-Tirv1WnOCRY,aosrd_webinars_youtube,The End of Medicine with Dr. Paul Clayton – Video – 12 March 2026,the end of medicine with dr paul clayton - - 12 march 2026,2026-03-12,Tirv1WnOCRY,https://aosrd.org/webinars/,,Se28ZvfBuNMYHNmwQG9ua7gbTWk,2026-03-10,Research/lectures/clearfield-webinar-2026-03-10,Tuesday Integrative Health Webinar,"Tuesday Integrative Health Webinar — March 10, 2026: Paul Clayton Pharmaco-Nutrition & GHK-Cu",True,83,strong,near date + speaker + topic evidence,0.5,near_2d,aligned,no,no,Paul Clayton,"2026,clayton,medicine,paul"
aosrd-webinars-024-tG56hy020G8,aosrd_webinars_youtube,A Tale of Two Syndromes-PCOS and Hashimoto’s Thyroidits with Dr. Victor Klausner and Bill Clearfield – Video – 3 March 2026,a tale of two syndromes-pcos polycystic ovary syndrome and hashimoto s thyroidits with dr victor klausner and bill clearfield - - 3 march 2026,2026-03-03,tG56hy020G8,https://aosrd.org/webinars/,,eEDmdeOTNokKYKUadQuO_9gDjuo,2026-02-25,Research/lectures/clearfield-webinar-2026-02-25,Tuesday Integrative Health Webinar,"Tuesday Integrative Health Webinar — February 25, 2026: Psilocybin Tip, Lean PCOS & Hashimoto Phase 2 Case",True,108,possible,topic/title similarity; insufficient independent evidence,0.449,compatible_6d,aligned,no,yes,Victor Klausner,"2026,hashimoto,klausner,ovary,polycystic,syndrome,tale,victor"
aosrd-webinars-025-FFLoos87gRA,aosrd_webinars_youtube,Stress Dominance-Why Hormone Dysregulation Begins Before Labs Go Abnormal with Dr. Eldred Taylor – Video – 18-Feb-2026,stress dominance-why hormone dysregulation begins before labs go abnormal with dr eldred taylor - - 18-feb-2026,2026-02-18,FFLoos87gRA,https://aosrd.org/webinars/,,noIHLP-haQRngsIwy5mlPxVj6SM,2026-02-18,Research/lectures/clearfield-webinar-2026-02-18,Tuesday Integrative Health Webinar,"Tuesday Integrative Health Webinar — February 18, 2026",True,43,strong,exact session date + substantive topic/title evidence,0.14,exact,aligned,no,no,Eldred Taylor,"hormone,stress,taylor"
aosrd-webinars-026-v3cUiPMVJnw,aosrd_webinars_youtube,Ketamine for Treatment Resistant Depression with Dr. Erwin Boco – Video – 11-Feb-2026,ketamine for treatment resistant depression with dr erwin boco - - 11-feb-2026,2026-02-11,v3cUiPMVJnw,https://aosrd.org/webinars/,,Z9n_3HuDLHeLCNsCxD97Y679BQA,2026-02-11,Research/lectures/clearfield-webinar-2026-02-11,Tuesday Integrative Health Webinar,"Tuesday Integrative Health Webinar — February 11, 2026: Ibogaine Tip & Ketamine for TRD",True,86,strong,exact session date + substantive topic/title evidence,0.25,exact,aligned,no,no,Erwin Boco,"boco,depression,erwin,ketamine"
aosrd-webinars-027-ukSSwKzur48,aosrd_webinars_youtube,Mitochondrial Therapeutics for Enhancing Healthspan with Dr. Siobhan Mitchell – Video – 04-Feb-2026,mitochondrial therapeutics for enhancing healthspan with dr siobhan mitchell - - 04-feb-2026,2026-02-04,ukSSwKzur48,https://aosrd.org/webinars/,,GMgbZhdKVzi_Uu9bXvypJxkwwKM,2026-02-04,Research/lectures/clearfield-webinar-2026-02-04,Tuesday Integrative Health Webinar,"Tuesday Integrative Health Webinar — February 4, 2026: Kratom Gray Zone & Mitochondrial Therapeutics (MitoQ)",True,47,strong,exact session date + substantive topic/title evidence,0.373,exact,aligned,no,no,Siobhan Mitchell,"mitchell,mitochondrial,siobhan,therapeutics"
aosrd-webinars-028-IEiWWFt1dUg,aosrd_webinars_youtube,"The What, Why, How and How-Not of Aging with Dr. Bill Andrews – Video – 21-Jan-2026",the what why how and how-not of aging with dr bill andrews - - 21-jan-2026,2026-01-21,IEiWWFt1dUg,https://aosrd.org/webinars/,,l416W8yP4i7dv3Jhd5H2F74zMnU,2026-01-21,Research/lectures/clearfield-webinar-2026-01-21,Tuesday Integrative Health Webinar,"Tuesday Integrative Health Webinar — January 21, 2026: Telomeres, Telomerase & How Not to Age (Bill Andrews)",True,122,strong,exact session date + substantive topic/title evidence,0.408,exact,aligned,no,no,Bill Andrews,"aging,andrews,what"
aosrd-webinars-028-IEiWWFt1dUg,aosrd_webinars_youtube,"The What, Why, How and How-Not of Aging with Dr. Bill Andrews – Video – 21-Jan-2026",the what why how and how-not of aging with dr bill andrews - - 21-jan-2026,2026-01-21,IEiWWFt1dUg,https://aosrd.org/webinars/,,ajVChHpkQS72kcrtN9J03lwNFZ0,2026-04-28,Research/lectures/clearfield-webinar-2026-04-28,Tuesday Integrative Health Webinar,"Tuesday Integrative Health Webinar — April 28, 2026: Telomeres & How Not to Age (Bill Andrews)",True,154,possible,topic/title similarity; insufficient independent evidence,0.45,divergent,aligned,no,yes,Bill Andrews,"aging,andrews"
aosrd-webinars-029,aosrd_webinars_vimeo,Cannabis for Dementia with Dr Dustin Sulak – Video – 13-Jan-2026,cannabis for dementia with dr dustin sulak - - 13-jan-2026,2026-01-13,,https://aosrd.org/webinars/,,lBEx4QEhjOy2jlQIxmXZmxIj5BM,2026-01-14,Research/lectures/clearfield-webinar-2026-01-14,Tuesday Integrative Health Webinar,"Tuesday Integrative Health Webinar — January 14, 2026: Humanin Tip & Cannabis for Dementia (Sulak)",True,105,strong,near date + speaker + topic evidence,0.462,near_1d,aligned,no,no,Dustin Sulak,"cannabis,dementia,dustin,sulak"
aosrd-webinars-030-STzYdlwj7lI,aosrd_webinars_youtube,Osteoporosis Testing for Assessing Fracture Risk with Dr. John Neustadt – Video – 01-Jan-2026,osteoporosis testing for assessing fracture risk with dr john neustadt - - 01-jan-2026,2026-01-01,STzYdlwj7lI,https://aosrd.org/webinars/,,GH57wayNAp6iLAYz_3IRSsC5few,2026-01-07,Research/lectures/clearfield-webinar-2026-01-07,Tuesday Integrative Health Webinar,"Tuesday Integrative Health Webinar — January 7, 2026: Collagen Signaling & Osteoporosis Testing (Fracture Risk)",True,61,possible,topic/title similarity; insufficient independent evidence,0.43,compatible_6d,aligned,no,yes,John Neustadt,"fracture,john,neustadt,osteoporosis,risk,testing"
aosrd-webinars-030-STzYdlwj7lI,aosrd_webinars_youtube,Osteoporosis Testing for Assessing Fracture Risk with Dr. John Neustadt – Video – 01-Jan-2026,osteoporosis testing for assessing fracture risk with dr john neustadt - - 01-jan-2026,2026-01-01,STzYdlwj7lI,https://aosrd.org/webinars/,,y59a2fEx8UgOiThJHr1w-HcQc1U,2024-08-20,Research/lectures/clearfield-webinar-2024-08-20,Tuesday Integrative Health Webinar,"Tuesday Integrative Health Webinar — August 20, 2024: Cancer Treatment–Induced Osteoporosis & Fracture-First Bone Care (Dr. John Newstead)",True,0,possible,topic/title similarity; insufficient independent evidence,0.424,divergent,aligned,no,yes,John Neustadt,"fracture,john,osteoporosis,risk"
aosrd-webinars-031-jeZ1O-xDl9c,aosrd_webinars_youtube,A Better Cleaner You!! with Dr. Aunna Herbst – Video – 23-Dec-2025,a better cleaner you with dr aunna herbst - - 23-dec-2025,2025-12-23,jeZ1O-xDl9c,https://aosrd.org/webinars/,,,,,,,,,no_match,no reasonable otter candidate,,no_candidate,unknown,no,yes,Aunna Herbst,
aosrd-webinars-032-ujLADWyiIR8,aosrd_webinars_youtube,Menopause and Vasomotor Symptoms-Therapeutic Options with Dr. Felice Gersh – Video – 17-Dec-2025,menopause and vasomotor symptoms-therapeutic options with dr felice gersh - - 17-dec-2025,2025-12-17,ujLADWyiIR8,https://aosrd.org/webinars/,,OyOI3AvRLueyq57ys04VXI5U1WU,2025-12-17,Research/lectures/clearfield-webinar-2025-12-17,Tuesday Integrative Health Webinar,"Tuesday Integrative Health Webinar — December 17, 2025: Vasomotor Symptoms & Estradiol-First HRT (Gersh)",True,55,strong,exact session date + substantive topic/title evidence,0.385,exact,aligned,no,no,Felice Gersh,"gersh,menopause,vasomotor"
aosrd-webinars-032-ujLADWyiIR8,aosrd_webinars_youtube,Menopause and Vasomotor Symptoms-Therapeutic Options with Dr. Felice Gersh – Video – 17-Dec-2025,menopause and vasomotor symptoms-therapeutic options with dr felice gersh - - 17-dec-2025,2025-12-17,ujLADWyiIR8,https://aosrd.org/webinars/,,OL_Ukp1RYjVvnjsMHnF2eXCXDC8,2024-10-01,Research/lectures/clearfield-webinar-2024-10-01,Tuesday Integrative Health Webinar,"Tuesday Integrative Health Webinar — October 1, 2024: Physiologic Menopausal HRT with Felice Gersh",True,0,possible,topic/title similarity; insufficient independent evidence,0.416,divergent,aligned,no,yes,Felice Gersh,"felice,gersh,menopause"
aosrd-webinars-033-0MvEBIG53X4,aosrd_webinars_youtube,"Optimized Nutrient Absorption with Methylated, Nanoscale and Adaptohenic Formulas w Dr. Robert Celaya – Video – 10-Dec-2025",optimized nutrient absorption with methylated nanoscale and adaptohenic formulas w dr robert celaya - - 10-dec-2025,2025-12-10,0MvEBIG53X4,https://aosrd.org/webinars/,,3BvIJDrhEXHdWPee7Ztw2x6EmdE,2025-12-10,Research/lectures/clearfield-webinar-2025-12-10,Tuesday Integrative Health Webinar,"Tuesday Integrative Health Webinar — December 10, 2025: Nanotechnology, Adaptogens & Holiday Metabolic Botanicals (Saleya / Nario)",True,129,strong,exact session date + substantive topic/title evidence,0.302,exact,partial:Robert Celaya,no,no,Methylated; Robert Celaya,"formulas,robert"
aosrd-webinars-034,aosrd_webinars_vimeo,"HRT, Ice Plunges, Omega-3s and Dead Hangs Saved Me and Now we are Saving Doctors w Stefan Hartmann and his MOM! – Video – 26-Nov-2025",hrt hormone replacement therapy ice plunges omega-3s and dead hangs saved me and now we are saving doctors w stefan hartmann and his mom - - 26-nov-2025,2025-11-26,,https://aosrd.org/webinars/,,HY-sCmihzh3EJ69WWVwlTT0Ri6s,2025-11-26,Research/lectures/clearfield-webinar-2025-11-26,Tuesday Integrative Health Webinar,"Tuesday Integrative Health Webinar — November 26, 2025: Vitamin D CYP Induction, Omega-3 Longevity & HRT Lifestyle Protocol",True,56,strong,exact session date + substantive topic/title evidence,0.302,exact,aligned,no,no,Stefan Hartmann,"dead,hangs,hormone,replacement,stefan,therapy"
aosrd-webinars-034,aosrd_webinars_vimeo,"HRT, Ice Plunges, Omega-3s and Dead Hangs Saved Me and Now we are Saving Doctors w Stefan Hartmann and his MOM! – Video – 26-Nov-2025",hrt hormone replacement therapy ice plunges omega-3s and dead hangs saved me and now we are saving doctors w stefan hartmann and his mom - - 26-nov-2025,2025-11-26,,https://aosrd.org/webinars/,,zlsEo9I_-f-RI9YXiSfAueScYNM,2025-09-23,Research/lectures/clearfield-webinar-2025-09-23,Tuesday Integrative Health Webinar,"Tuesday Integrative Health Webinar — September 23, 2025: Brain Optimization (Hartman) & Glycocalyx Tip",True,72,possible,topic/title similarity; insufficient independent evidence,0.26,divergent,aligned,no,yes,Stefan Hartmann,"hormone,stefan"
aosrd-webinars-034,aosrd_webinars_vimeo,"HRT, Ice Plunges, Omega-3s and Dead Hangs Saved Me and Now we are Saving Doctors w Stefan Hartmann and his MOM! – Video – 26-Nov-2025",hrt hormone replacement therapy ice plunges omega-3s and dead hangs saved me and now we are saving doctors w stefan hartmann and his mom - - 26-nov-2025,2025-11-26,,https://aosrd.org/webinars/,,qwUT3cyV7gYvn34XQtrA84mAbiI,2024-11-20,Research/lectures/clearfield-webinar-2024-11-20,Tuesday Integrative Health Webinar,"Tuesday Integrative Health Webinar — November 20, 2024: Longevity Biomarkers (NAD, Klotho, Inflammation)",True,56,possible,topic/title similarity; insufficient independent evidence,0.251,divergent,aligned,no,yes,Stefan Hartmann,"hormone,stefan,therapy"
aosrd-webinars-034,aosrd_webinars_vimeo,"HRT, Ice Plunges, Omega-3s and Dead Hangs Saved Me and Now we are Saving Doctors w Stefan Hartmann and his MOM! – Video – 26-Nov-2025",hrt hormone replacement therapy ice plunges omega-3s and dead hangs saved me and now we are saving doctors w stefan hartmann and his mom - - 26-nov-2025,2025-11-26,,https://aosrd.org/webinars/,,vZKE66zexBS6KPliMMq0glRxefk,2024-12-04,Research/lectures/clearfield-webinar-2024-12-04,Tuesday Integrative Health Webinar,"Tuesday Integrative Health Webinar — December 4, 2024: 12 Medical Myths (Christmas Edition)",True,79,possible,topic/title similarity; insufficient independent evidence,0.245,divergent,aligned,no,yes,Stefan Hartmann,"hormone,stefan,therapy"
aosrd-webinars-035-uxreznI9JQA,aosrd_webinars_youtube,Mind-Mineral Connection with Kelli Hanson – Video – 19-Nov-2025,mind-mineral connection with kelli hanson - - 19-nov-2025,2025-11-19,uxreznI9JQA,https://aosrd.org/webinars/,,,,,,,,,no_match,no reasonable otter candidate,,no_candidate,unknown,no,yes,Kelli Hanson,
