record_id,ecosystem,source,original_title,normalized_title,pass1_reference,otter_id,otter_date,packet_dir,packet_json_status,raw_transcript_status,summary_status,structured_lecture_notes_status,quiz_status,key_takeaways_status,infographic_data_status,infographic_status,readme_status,slides_status,slides_claimed_downloaded,slide_pdf_status,slide_images_status,audio_status,video_status,pathway_status,content_kit_status,knowledge_leaves_status,aosrd_catalog_status,aosrd_pdf_url_status,aosrd_pdf_local_status,youtube_id,youtube_url_status,youtube_video_local_status,vimeo_url_status,vimeo_video_local_status,rumble_url_status,rumble_video_local_status,overall_local_representation_status,processing_state_based_on_local_inventory,notes
otter-o1l0-NkpGtaNkGUULd_nBUbyoLs,AOSRD_Clearfield,clearfield_otter,Tuesday Integrative Health Webinar — Rojan Kavash Intro / Recording Logistics,tuesday integrative health webinar rojan kavash intro recording logistics,,o1l0-NkpGtaNkGUULd_nBUbyoLs,2024-10-15,Research/lectures/clearfield-webinar-2024-10-15,present_local,present_local,present_local,present_local,present_local,present_local,present_local,absent,present_local,absent,false,absent,absent,absent,absent,absent,absent,absent,absent,not_checked,absent,,not_checked,absent,not_checked,absent,not_checked,absent,present_local,text_complete,otter-manifest.slides_downloaded=true but packet.slides status=none/count=0; treated as absent per packet.json (manifest appears blanket-true); sync=transcript_only
otter-ykfPBSHSL3meBk4yGojbTxMVIpA,AOSRD_Clearfield,clearfield_otter,"Tuesday Integrative Health Webinar — October 22, 2024: DHA, Lutein & Zeaxanthin for Brain Health",tuesday integrative health webinar october 22 2024 dha lutein zeaxanthin for brain health,aosrd-webinars-052-k7huYi1803c:possible;aosrd-webinars-099-vhO2wI9HZPs:possible;aosrd-webinars-132-lMv3tfv7nN8:possible;aosrd-webinars-186-hUswEBL-LBc:possible;aosrd-webinars-205:possible;aosrd-webinars-211-xXkcEzAgITI:possible;aosrd-webinars-277-PAwuHkLjBxc:possible,ykfPBSHSL3meBk4yGojbTxMVIpA,2024-10-22,Research/lectures/clearfield-webinar-2024-10-22,present_local,present_local,present_local,present_local,present_local,present_local,present_local,absent,present_local,claimed_present_elsewhere,true,absent,claimed_present_elsewhere,absent,absent,absent,absent,absent,cataloged_external,cataloged_external,absent,,not_checked,absent,not_checked,absent,not_checked,absent,present_local,text_plus_visual_claimed_elsewhere,"slides claimed downloaded (count=68, packet.status=downloaded); 0 JPEG/PNG under slides/ on this disk (gitignore Research/lectures/*/slides/*.jpeg); pass1_web_candidates=7 (unconfirmed identity); sync=transcript_plus_screenshots; pass1_candidate_youtube_ids=PAwuHkLjBxc,hUswEBL-LBc,k7huYi1803c,lMv3tfv7nN8,vhO2wI9HZPs,xXkcEzAgITI (unconfirmed); pass1_candidate_pdf_urls=2 (unconfirmed identity)"
otter-P7cEH8dwjVWTUDcsolAayRGqqp4,AOSRD_Clearfield,clearfield_otter,Tuesday Integrative Health Webinar — Cash-Based Practice / Stairway System (Gallogly),tuesday integrative health webinar cash based practice stairway system gallogly,aosrd-webinars-015-vngXuAjbS-4:possible,P7cEH8dwjVWTUDcsolAayRGqqp4,2024-10-29,Research/lectures/clearfield-webinar-2024-10-29,present_local,present_local,present_local,present_local,present_local,present_local,present_local,absent,present_local,claimed_present_elsewhere,true,absent,claimed_present_elsewhere,absent,absent,absent,absent,absent,cataloged_external,not_checked,absent,,not_checked,absent,not_checked,absent,not_checked,absent,present_local,text_plus_visual_claimed_elsewhere,"slides claimed downloaded (count=110, packet.status=downloaded); 0 JPEG/PNG under slides/ on this disk (gitignore Research/lectures/*/slides/*.jpeg); pass1_web_candidates=1 (unconfirmed identity); sync=transcript_only; pass1_candidate_youtube_ids=vngXuAjbS-4 (unconfirmed)"
otter-P1FgRy3FvTrrNYsXISdsJKJeiEg,AOSRD_Clearfield,clearfield_otter,"Tuesday Integrative Health Webinar — November 6, 2024: Microbiome Diversity & Fecal Microbiota Transplant",tuesday integrative health webinar november 6 2024 microbiome diversity fecal microbiota transplant,aosrd-webinars-069-kSvKhj5JSv0:possible;aosrd-webinars-130-Zg1SS0BMLIE:variant_derivative;aosrd-webinars-204-Qy2mrgSpVNg:possible;aosrd-2022-meta-conference-aosrd-2022-catalog-notes:possible,P1FgRy3FvTrrNYsXISdsJKJeiEg,2024-11-06,Research/lectures/clearfield-webinar-2024-11-06,present_local,present_local,present_local,present_local,present_local,present_local,present_local,absent,present_local,claimed_present_elsewhere,true,absent,claimed_present_elsewhere,absent,absent,absent,absent,absent,cataloged_external,cataloged_external,absent,,not_checked,absent,not_checked,absent,not_checked,absent,present_local,text_plus_visual_claimed_elsewhere,"slides claimed downloaded (count=53, packet.status=downloaded); 0 JPEG/PNG under slides/ on this disk (gitignore Research/lectures/*/slides/*.jpeg); pass1_web_candidates=4 (unconfirmed identity); sync=transcript_plus_screenshots; pass1_candidate_youtube_ids=Qy2mrgSpVNg,Zg1SS0BMLIE,kSvKhj5JSv0 (unconfirmed); pass1_candidate_pdf_urls=2 (unconfirmed identity)"
otter-NGmGloKNP2XqOUJP7jB7qBC5eRM,AOSRD_Clearfield,clearfield_otter,"Tuesday Integrative Health Webinar — November 13, 2024",tuesday integrative health webinar november 13 2024,aosrd-webinars-130-Zg1SS0BMLIE:variant_derivative,NGmGloKNP2XqOUJP7jB7qBC5eRM,2024-11-13,Research/lectures/clearfield-webinar-2024-11-13,present_local,present_local,present_local,present_local,present_local,present_local,present_local,absent,present_local,claimed_present_elsewhere,true,absent,claimed_present_elsewhere,absent,absent,absent,absent,absent,cataloged_external,not_checked,absent,,not_checked,absent,not_checked,absent,not_checked,absent,present_local,text_plus_visual_claimed_elsewhere,"slides claimed downloaded (count=47, packet.status=downloaded); 0 JPEG/PNG under slides/ on this disk (gitignore Research/lectures/*/slides/*.jpeg); pass1_web_candidates=1 (unconfirmed identity); sync=transcript_only; pass1_candidate_youtube_ids=Zg1SS0BMLIE (unconfirmed)"
otter-qwUT3cyV7gYvn34XQtrA84mAbiI,AOSRD_Clearfield,clearfield_otter,"Tuesday Integrative Health Webinar — November 20, 2024: Longevity Biomarkers (NAD, Klotho, Inflammation)",tuesday integrative health webinar november 20 2024 longevity biomarkers nad klotho inflammation,aosrd-webinars-034:possible;aosrd-webinars-086-3F5eDzS7HqI:possible;aosrd-webinars-087-5ItUoUUJvsg:possible;aosrd-webinars-204-Qy2mrgSpVNg:possible,qwUT3cyV7gYvn34XQtrA84mAbiI,2024-11-20,Research/lectures/clearfield-webinar-2024-11-20,present_local,present_local,present_local,present_local,present_local,present_local,present_local,absent,present_local,claimed_present_elsewhere,true,absent,claimed_present_elsewhere,absent,absent,absent,absent,absent,cataloged_external,cataloged_external,absent,,not_checked,absent,not_checked,absent,not_checked,absent,present_local,text_plus_visual_claimed_elsewhere,"slides claimed downloaded (count=56, packet.status=downloaded); 0 JPEG/PNG under slides/ on this disk (gitignore Research/lectures/*/slides/*.jpeg); pass1_web_candidates=4 (unconfirmed identity); sync=transcript_plus_screenshots; pass1_candidate_youtube_ids=3F5eDzS7HqI,5ItUoUUJvsg,Qy2mrgSpVNg (unconfirmed); pass1_candidate_pdf_urls=1 (unconfirmed identity)"
otter-vjcply7K-rJtWMYGKgD39abIq9E,AOSRD_Clearfield,clearfield_otter,"Tuesday Integrative Health Webinar — November 27, 2024: Brain Health Crisis, Women’s Hormones & Cognitive Prevention (Dr. Debbie Smurz)",tuesday integrative health webinar november 27 2024 brain health crisis women s hormones cognitive prevention dr debbie smurz,aosrd-webinars-084-LCKfDsIgPEw:strong;aosrd-webinars-133-DdsK-SLxdqY:possible;aosrd-webinars-207-0cBElywMkUY:possible,vjcply7K-rJtWMYGKgD39abIq9E,2024-11-27,Research/lectures/clearfield-webinar-2024-11-27,present_local,present_local,present_local,present_local,present_local,present_local,present_local,absent,present_local,claimed_present_elsewhere,true,absent,claimed_present_elsewhere,absent,absent,absent,absent,absent,cataloged_external,cataloged_external,absent,,not_checked,absent,not_checked,absent,not_checked,absent,present_local,text_plus_visual_claimed_elsewhere,"slides claimed downloaded (count=117, packet.status=downloaded); 0 JPEG/PNG under slides/ on this disk (gitignore Research/lectures/*/slides/*.jpeg); pass1_web_candidates=3 (unconfirmed identity); sync=transcript_plus_screenshots; pass1_candidate_youtube_ids=0cBElywMkUY,DdsK-SLxdqY,LCKfDsIgPEw (unconfirmed); pass1_candidate_pdf_urls=1 (unconfirmed identity)"
otter-vZKE66zexBS6KPliMMq0glRxefk,AOSRD_Clearfield,clearfield_otter,"Tuesday Integrative Health Webinar — December 4, 2024: 12 Medical Myths (Christmas Edition)",tuesday integrative health webinar december 4 2024 12 medical myths christmas edition,aosrd-webinars-034:possible;aosrd-webinars-136-HfjLBsKBxKM:possible;aosrd-webinars-175-wTPrdOyALx0:possible;aosrd-webinars-205:possible;aosrd-2022-sunday-7-cruz-march-2022-medical-ethics-presentation-1:possible,vZKE66zexBS6KPliMMq0glRxefk,2024-12-04,Research/lectures/clearfield-webinar-2024-12-04,present_local,present_local,present_local,present_local,present_local,present_local,present_local,absent,present_local,claimed_present_elsewhere,true,absent,claimed_present_elsewhere,absent,absent,absent,absent,absent,cataloged_external,cataloged_external,absent,,not_checked,absent,not_checked,absent,not_checked,absent,present_local,text_plus_visual_claimed_elsewhere,"slides claimed downloaded (count=79, packet.status=downloaded); 0 JPEG/PNG under slides/ on this disk (gitignore Research/lectures/*/slides/*.jpeg); pass1_web_candidates=5 (unconfirmed identity); sync=transcript_plus_screenshots; pass1_candidate_youtube_ids=HfjLBsKBxKM,wTPrdOyALx0 (unconfirmed); pass1_candidate_pdf_urls=3 (unconfirmed identity)"
otter-TNvBcRwwSnrkWGe2_L3i3lGvYYk,AOSRD_Clearfield,clearfield_otter,"Tuesday Integrative Health Webinar — December 11, 2024: Soy Foods, Isoflavones & Controversies",tuesday integrative health webinar december 11 2024 soy foods isoflavones controversies,aosrd-webinars-064-JRwekVs321Y:possible;aosrd-webinars-080-zNlsUByAduM:possible;aosrd-webinars-136-HfjLBsKBxKM:possible;aosrd-webinars-171-wSFbd7D8Lpw:variant_derivative;aosrd-webinars-186-hUswEBL-LBc:possible;aosrd-2022-sunday-8-burgess-suicide-prevention-john-burgess-do-aosrd-4-0:possible,TNvBcRwwSnrkWGe2_L3i3lGvYYk,2024-12-11,Research/lectures/clearfield-webinar-2024-12-11,present_local,present_local,present_local,present_local,present_local,present_local,present_local,absent,present_local,claimed_present_elsewhere,true,absent,claimed_present_elsewhere,absent,absent,absent,absent,absent,cataloged_external,cataloged_external,absent,,not_checked,absent,not_checked,absent,not_checked,absent,present_local,text_plus_visual_claimed_elsewhere,"slides claimed downloaded (count=160, packet.status=downloaded); 0 JPEG/PNG under slides/ on this disk (gitignore Research/lectures/*/slides/*.jpeg); pass1_web_candidates=6 (unconfirmed identity); sync=transcript_plus_screenshots; pass1_candidate_youtube_ids=HfjLBsKBxKM,JRwekVs321Y,hUswEBL-LBc,wSFbd7D8Lpw,zNlsUByAduM (unconfirmed); pass1_candidate_pdf_urls=3 (unconfirmed identity)"
otter-teTBikykKpBtvemVFqClxhmIVaQ,AOSRD_Clearfield,clearfield_otter,"Tuesday Integrative Health Webinar — December 18, 2024: Urinary Hormone Monitors & Women's Care (McKenzie / Mira)",tuesday integrative health webinar december 18 2024 urinary hormone monitors women s care mckenzie mira,aosrd-webinars-053-Y-_p7jNbZaY:possible;aosrd-webinars-079-IcjS_wKZ5bI:strong;aosrd-webinars-130-Zg1SS0BMLIE:variant_derivative;aosrd-webinars-133-DdsK-SLxdqY:possible;aosrd-webinars-148-FcjGN44DJf4:possible,teTBikykKpBtvemVFqClxhmIVaQ,2024-12-18,Research/lectures/clearfield-webinar-2024-12-18,present_local,present_local,present_local,present_local,present_local,present_local,present_local,absent,present_local,claimed_present_elsewhere,true,absent,claimed_present_elsewhere,absent,absent,absent,absent,absent,cataloged_external,not_checked,absent,,not_checked,absent,not_checked,absent,not_checked,absent,present_local,text_plus_visual_claimed_elsewhere,"slides claimed downloaded (count=138, packet.status=downloaded); 0 JPEG/PNG under slides/ on this disk (gitignore Research/lectures/*/slides/*.jpeg); pass1_web_candidates=5 (unconfirmed identity); sync=transcript_plus_screenshots; pass1_candidate_youtube_ids=DdsK-SLxdqY,FcjGN44DJf4,IcjS_wKZ5bI,Y-_p7jNbZaY,Zg1SS0BMLIE (unconfirmed)"
otter-5HPCyqwQxi9QD1of8g-CPHrnFcc,AOSRD_Clearfield,clearfield_otter,"Tuesday Integrative Health Webinar — January 8, 2025: Rapid Weight Loss, Muscle Preservation, NAD & Fortetropin",tuesday integrative health webinar january 8 2025 rapid weight loss muscle preservation nad fortetropin,aosrd-webinars-064-JRwekVs321Y:possible;aosrd-webinars-077-Y4xe9xz-84s:possible;aosrd-webinars-134-LdAfVo2iTT0:possible;aosrd-webinars-170-hj4CXKqCtkg:possible;aosrd-webinars-182-FsuYMzPyjWE:possible;aosrd-webinars-191-ZrOMyfW29og:possible,5HPCyqwQxi9QD1of8g-CPHrnFcc,2025-01-08,Research/lectures/clearfield-webinar-2025-01-08,present_local,present_local,present_local,present_local,present_local,present_local,present_local,absent,present_local,claimed_present_elsewhere,true,absent,claimed_present_elsewhere,absent,absent,absent,absent,absent,cataloged_external,cataloged_external,absent,,not_checked,absent,not_checked,absent,not_checked,absent,present_local,text_plus_visual_claimed_elsewhere,"slides claimed downloaded (count=122, packet.status=downloaded); 0 JPEG/PNG under slides/ on this disk (gitignore Research/lectures/*/slides/*.jpeg); pass1_web_candidates=6 (unconfirmed identity); sync=transcript_plus_screenshots; pass1_candidate_youtube_ids=FsuYMzPyjWE,JRwekVs321Y,LdAfVo2iTT0,Y4xe9xz-84s,ZrOMyfW29og,hj4CXKqCtkg (unconfirmed); pass1_candidate_pdf_urls=3 (unconfirmed identity)"
