acquisition_unit_id,representation_type,source_system,external_url_original,external_url_canonical,canonicalization_status,authorized_erc_ids,catalog_record_ids,acquisition_purpose,shared_representation,erc_reference_count,local_presence_status,pass4_5_authorization_state,epistemic_ceiling,notes
AU-001,AOSRD_PDF,aosrd,https://aosrd.org/another-view-of-the-endocannabinoid-system-with-dr-robert-quinn/,https://aosrd.org/another-view-of-the-endocannabinoid-system-with-dr-robert-quinn/,ok,erc-4.5-pdf-008-aosrd-webinars-153-xF0qI-tdmWo,aosrd-webinars-153-xF0qI-tdmWo,identity_resolution,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/another-view-of-the-endocannabinoid-system-with-dr-robert-quinn/; original_urls=1; contributing_ercs=1
AU-012,AOSRD_PDF,aosrd,https://aosrd.org/fracture-proof-your-bones-a-comprehensive-guide-to-osteoporosis-with-dr-john-neustadt/,https://aosrd.org/fracture-proof-your-bones-a-comprehensive-guide-to-osteoporosis-with-dr-john-neustadt/,ok,erc-4.5-pdf-039-aosrd-webinars-199-GpYX1_vmLFI,aosrd-webinars-199-GpYX1_vmLFI,identity_resolution,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/fracture-proof-your-bones-a-comprehensive-guide-to-osteoporosis-with-dr-john-neustadt/; original_urls=1; contributing_ercs=1
AU-013,AOSRD_PDF,aosrd,https://aosrd.org/frequency-specific-microcurrent-by-carol-mcmakin-madc/,https://aosrd.org/frequency-specific-microcurrent-by-carol-mcmakin-madc/,ok,erc-4.5-pdf-052-aosrd-webinars-234-5xpAcQ8J7hE,aosrd-webinars-234-5xpAcQ8J7hE,new_session_candidate,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/frequency-specific-microcurrent-by-carol-mcmakin-madc/; original_urls=1; contributing_ercs=1
AU-014,AOSRD_PDF,aosrd,https://aosrd.org/from-marijuana-to-mushroom-are-plants-and-fungi-natural-with-dr-jeffrey-bock/,https://aosrd.org/from-marijuana-to-mushroom-are-plants-and-fungi-natural-with-dr-jeffrey-bock/,ok,erc-4.5-pdf-009-aosrd-webinars-154-S62qYOwRkRs,aosrd-webinars-154-S62qYOwRkRs,new_session_candidate,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/from-marijuana-to-mushroom-are-plants-and-fungi-natural-with-dr-jeffrey-bock/; original_urls=1; contributing_ercs=1
AU-015,AOSRD_PDF,aosrd,https://aosrd.org/glutathione-update-with-dr-nayan-patel/,https://aosrd.org/glutathione-update-with-dr-nayan-patel/,ok,erc-4.5-pdf-029-aosrd-webinars-185-AZvxTJWqeBA,aosrd-webinars-185-AZvxTJWqeBA,identity_resolution,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/glutathione-update-with-dr-nayan-patel/; original_urls=1; contributing_ercs=1
AU-016,AOSRD_PDF,aosrd,https://aosrd.org/how-to-choose-the-best-stem-cell-sources-for-your-practice-with-dr-joy-kong/,https://aosrd.org/how-to-choose-the-best-stem-cell-sources-for-your-practice-with-dr-joy-kong/,ok,erc-4.5-pdf-011-aosrd-webinars-156-rNvF48yMEag,aosrd-webinars-156-rNvF48yMEag,new_session_candidate,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/how-to-choose-the-best-stem-cell-sources-for-your-practice-with-dr-joy-kong/; original_urls=1; contributing_ercs=1
AU-017,AOSRD_PDF,aosrd,https://aosrd.org/hypo-and-hyperthyroidism-are-one-internal-disease/,https://aosrd.org/hypo-and-hyperthyroidism-are-one-internal-disease/,ok,erc-4.5-pdf-060-aosrd-webinars-245-y3Fz32zWP10,aosrd-webinars-245-y3Fz32zWP10,new_session_candidate,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/hypo-and-hyperthyroidism-are-one-internal-disease/; original_urls=1; contributing_ercs=1
AU-018,AOSRD_PDF,aosrd,https://aosrd.org/integrative-medicine-and-the-law-by-judge-egan-walker/,https://aosrd.org/integrative-medicine-and-the-law-by-judge-egan-walker/,ok,erc-4.5-pdf-050-aosrd-webinars-232-rqFCphSMW1o,aosrd-webinars-232-rqFCphSMW1o,new_session_candidate,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/integrative-medicine-and-the-law-by-judge-egan-walker/; original_urls=1; contributing_ercs=1
AU-019,AOSRD_PDF,aosrd,https://aosrd.org/integrative-psychiatry-neurofeedback-and-the-treatment-resistant-patient-with-dr-john-finnick/,https://aosrd.org/integrative-psychiatry-neurofeedback-and-the-treatment-resistant-patient-with-dr-john-finnick/,ok,erc-4.5-pdf-040-aosrd-webinars-200-8vtxAVALprY,aosrd-webinars-200-8vtxAVALprY,new_session_candidate,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/integrative-psychiatry-neurofeedback-and-the-treatment-resistant-patient-with-dr-john-finnick/; original_urls=1; contributing_ercs=1
AU-020,AOSRD_PDF,aosrd,https://aosrd.org/intermittent-fasting-stimulating-brown-fat-and-weight-management-with-dr-francisco-calaveri/,https://aosrd.org/intermittent-fasting-stimulating-brown-fat-and-weight-management-with-dr-francisco-calaveri/,ok,erc-4.5-pdf-010-aosrd-webinars-155-acTTjJWf9rk,aosrd-webinars-155-acTTjJWf9rk,new_session_candidate,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/intermittent-fasting-stimulating-brown-fat-and-weight-management-with-dr-francisco-calaveri/; original_urls=1; contributing_ercs=1
AU-021,AOSRD_PDF,aosrd,https://aosrd.org/ivermectin-feeds-bifidobactedium-to-boost-immunity/,https://aosrd.org/ivermectin-feeds-bifidobactedium-to-boost-immunity/,ok,erc-4.5-pdf-012-aosrd-webinars-158-BcMb7ZimIEo,aosrd-webinars-158-BcMb7ZimIEo,identity_resolution,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/ivermectin-feeds-bifidobactedium-to-boost-immunity/; original_urls=1; contributing_ercs=1
AU-022,AOSRD_PDF,aosrd,https://aosrd.org/live-healthier-better-and-longer-with-hydrogen-by-bob-settineri/,https://aosrd.org/live-healthier-better-and-longer-with-hydrogen-by-bob-settineri/,ok,erc-4.5-pdf-016-aosrd-webinars-169-xIY-4j04zh0,aosrd-webinars-169-xIY-4j04zh0,new_session_candidate,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/live-healthier-better-and-longer-with-hydrogen-by-bob-settineri/; original_urls=1; contributing_ercs=1
AU-023,AOSRD_PDF,aosrd,https://aosrd.org/menopause-the-impact-on-skin-and-hair-by-dr-felice-gersh/,https://aosrd.org/menopause-the-impact-on-skin-and-hair-by-dr-felice-gersh/,ok,erc-4.5-pdf-034-aosrd-webinars-193-3HKa-GZK_Qw,aosrd-webinars-193-3HKa-GZK_Qw,identity_resolution,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/menopause-the-impact-on-skin-and-hair-by-dr-felice-gersh/; original_urls=1; contributing_ercs=1
AU-024,AOSRD_PDF,aosrd,https://aosrd.org/methylene-blue-with-dr-bill-clearfield/,https://aosrd.org/methylene-blue-with-dr-bill-clearfield/,ok,erc-4.5-pdf-024-aosrd-webinars-179-9suZ_6zVHEM,aosrd-webinars-179-9suZ_6zVHEM,identity_resolution,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/methylene-blue-with-dr-bill-clearfield/; original_urls=1; contributing_ercs=1
AU-025,AOSRD_PDF,aosrd,https://aosrd.org/molds-mycotoxins-and-the-brain-an-evidenced-based-presentation-by-dr-andrew-campbell/,https://aosrd.org/molds-mycotoxins-and-the-brain-an-evidenced-based-presentation-by-dr-andrew-campbell/,ok,erc-4.5-pdf-046-aosrd-webinars-209-728P3vA7hsU,aosrd-webinars-209-728P3vA7hsU,identity_resolution,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/molds-mycotoxins-and-the-brain-an-evidenced-based-presentation-by-dr-andrew-campbell/; original_urls=1; contributing_ercs=1
AU-026,AOSRD_PDF,aosrd,https://aosrd.org/new-horizons-in-cancer-treatment-kalapana-patel-md/,https://aosrd.org/new-horizons-in-cancer-treatment-kalapana-patel-md/,ok,erc-4.5-pdf-051-aosrd-webinars-233-GFCg9tySvGI,aosrd-webinars-233-GFCg9tySvGI,new_session_candidate,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/new-horizons-in-cancer-treatment-kalapana-patel-md/; original_urls=1; contributing_ercs=1
AU-027,AOSRD_PDF,aosrd,https://aosrd.org/nutritional-excellence-the-kohana-approach-to-optimal-health-with-dr-rober-quinn/,https://aosrd.org/nutritional-excellence-the-kohana-approach-to-optimal-health-with-dr-rober-quinn/,ok,erc-4.5-pdf-014-aosrd-webinars-163--JGUhnhLGrQ,aosrd-webinars-163--JGUhnhLGrQ,identity_resolution,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/nutritional-excellence-the-kohana-approach-to-optimal-health-with-dr-rober-quinn/; original_urls=1; contributing_ercs=1
AU-028,AOSRD_PDF,aosrd,https://aosrd.org/osteopathic-manipulation-in-pain-and-substance-abuse/,https://aosrd.org/osteopathic-manipulation-in-pain-and-substance-abuse/,ok,erc-4.5-pdf-041-aosrd-webinars-201-8blzjFv9r8I,aosrd-webinars-201-8blzjFv9r8I,new_session_candidate,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/osteopathic-manipulation-in-pain-and-substance-abuse/; original_urls=1; contributing_ercs=1
AU-029,AOSRD_PDF,aosrd,https://aosrd.org/oxytocin-utilization-in-chronic-disease-management-with-dr-salaheldin-halasa/,https://aosrd.org/oxytocin-utilization-in-chronic-disease-management-with-dr-salaheldin-halasa/,ok,erc-4.5-pdf-042-aosrd-webinars-202-x6BIrL8qmzk,aosrd-webinars-202-x6BIrL8qmzk,identity_resolution,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/oxytocin-utilization-in-chronic-disease-management-with-dr-salaheldin-halasa/; original_urls=1; contributing_ercs=1
AU-030,AOSRD_PDF,aosrd,https://aosrd.org/pairing-nutrition-with-regenerative-medicine-by-dr-brad-watts/,https://aosrd.org/pairing-nutrition-with-regenerative-medicine-by-dr-brad-watts/,ok,erc-4.5-pdf-058-aosrd-webinars-242-tiIDS69FRkQ,aosrd-webinars-242-tiIDS69FRkQ,identity_resolution,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/pairing-nutrition-with-regenerative-medicine-by-dr-brad-watts/; original_urls=1; contributing_ercs=1
AU-031,AOSRD_PDF,aosrd,https://aosrd.org/plasmalogens-brain-health-and-longevity-what-every-integrative-and-osteopathic-physician-needs-to-know-by-dr-dayan-goodenowe/,https://aosrd.org/plasmalogens-brain-health-and-longevity-what-every-integrative-and-osteopathic-physician-needs-to-know-by-dr-dayan-goodenowe/,ok,erc-4.5-pdf-045-aosrd-webinars-207-0cBElywMkUY,aosrd-webinars-207-0cBElywMkUY,identity_resolution,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/plasmalogens-brain-health-and-longevity-what-every-integrative-and-osteopathic-physician-needs-to-know-by-dr-dayan-goodenowe/; original_urls=1; contributing_ercs=1
AU-032,AOSRD_PDF,aosrd,https://aosrd.org/solutions-on-suicide-january-18-2022-by-joel-peterson/,https://aosrd.org/solutions-on-suicide-january-18-2022-by-joel-peterson/,ok,erc-4.5-pdf-059-aosrd-webinars-244-DwiLCdt69H4,aosrd-webinars-244-DwiLCdt69H4,identity_resolution,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/solutions-on-suicide-january-18-2022-by-joel-peterson/; original_urls=1; contributing_ercs=1
AU-033,AOSRD_PDF,aosrd,https://aosrd.org/the-ancestral-diet-as-treatment-for-chronic-disease-with-stefan-hartmann-pa/,https://aosrd.org/the-ancestral-diet-as-treatment-for-chronic-disease-with-stefan-hartmann-pa/,ok,erc-4.5-pdf-032-aosrd-webinars-190-5hQ-anaFGIU,aosrd-webinars-190-5hQ-anaFGIU,identity_resolution,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/the-ancestral-diet-as-treatment-for-chronic-disease-with-stefan-hartmann-pa/; original_urls=1; contributing_ercs=1
AU-034,AOSRD_PDF,aosrd,https://aosrd.org/the-importance-of-polysacchari-unction-with-dr-john-e-lewis/,https://aosrd.org/the-importance-of-polysacchari-unction-with-dr-john-e-lewis/,ok,erc-4.5-pdf-020-aosrd-webinars-173-yAA5qJFYPgg,aosrd-webinars-173-yAA5qJFYPgg,identity_resolution,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/the-importance-of-polysacchari-unction-with-dr-john-e-lewis/; original_urls=1; contributing_ercs=1
AU-035,AOSRD_PDF,aosrd,https://aosrd.org/the-incretin-hormones-and-the-new-face-of-weight-loss-with-dr-william-clearfield/,https://aosrd.org/the-incretin-hormones-and-the-new-face-of-weight-loss-with-dr-william-clearfield/,ok,erc-4.5-pdf-017-aosrd-webinars-170-hj4CXKqCtkg,aosrd-webinars-170-hj4CXKqCtkg,identity_resolution,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/the-incretin-hormones-and-the-new-face-of-weight-loss-with-dr-william-clearfield/; original_urls=1; contributing_ercs=1
AU-036,AOSRD_PDF,aosrd,https://aosrd.org/the-new-face-of-weight-loss-with-dr-bill-clearfield/,https://aosrd.org/the-new-face-of-weight-loss-with-dr-bill-clearfield/,ok,erc-4.5-pdf-026-aosrd-webinars-182-FsuYMzPyjWE,aosrd-webinars-182-FsuYMzPyjWE,identity_resolution,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/the-new-face-of-weight-loss-with-dr-bill-clearfield/; original_urls=1; contributing_ercs=1
AU-037,AOSRD_PDF,aosrd,https://aosrd.org/the-positive-side-of-the-plummeting-health-index-in-america/,https://aosrd.org/the-positive-side-of-the-plummeting-health-index-in-america/,ok,erc-4.5-pdf-044-aosrd-webinars-204-Qy2mrgSpVNg,aosrd-webinars-204-Qy2mrgSpVNg,identity_resolution,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/the-positive-side-of-the-plummeting-health-index-in-america/; original_urls=1; contributing_ercs=1
AU-038,AOSRD_PDF,aosrd,https://aosrd.org/the-role-of-the-renin-angiotensin-components-in-atherosclerosis-with-dr-james-joseph/,https://aosrd.org/the-role-of-the-renin-angiotensin-components-in-atherosclerosis-with-dr-james-joseph/,ok,erc-4.5-pdf-036-aosrd-webinars-196-Td9ybE_W-wU,aosrd-webinars-196-Td9ybE_W-wU,identity_resolution,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/the-role-of-the-renin-angiotensin-components-in-atherosclerosis-with-dr-james-joseph/; original_urls=1; contributing_ercs=1
AU-039,AOSRD_PDF,aosrd,https://aosrd.org/type-1-diabetes-outcomes-therapies-and-future-innovations-with-dr-andrew-koutnik/,https://aosrd.org/type-1-diabetes-outcomes-therapies-and-future-innovations-with-dr-andrew-koutnik/,ok,erc-4.5-pdf-043-aosrd-webinars-203-4u_3c_lFUzs,aosrd-webinars-203-4u_3c_lFUzs,identity_resolution,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/type-1-diabetes-outcomes-therapies-and-future-innovations-with-dr-andrew-koutnik/; original_urls=1; contributing_ercs=1
AU-040,AOSRD_PDF,aosrd,https://aosrd.org/unlocking-the-power-of-the-mind-body-connection-with-dr-emmett-miller/,https://aosrd.org/unlocking-the-power-of-the-mind-body-connection-with-dr-emmett-miller/,ok,erc-4.5-pdf-013-aosrd-webinars-159-5DmzZRupogw,aosrd-webinars-159-5DmzZRupogw,new_session_candidate,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/unlocking-the-power-of-the-mind-body-connection-with-dr-emmett-miller/; original_urls=1; contributing_ercs=1
AU-041,AOSRD_PDF,aosrd,https://aosrd.org/wp-content/uploads/2021/08/Chronic-Fatigue-Syndrome-ASORD-1.pdf,https://aosrd.org/wp-content/uploads/2021/08/Chronic-Fatigue-Syndrome-ASORD-1.pdf,ok,erc-4.5-pdf-063-aosrd-webinars-263-lCzuTx9LKnQ,aosrd-webinars-263-lCzuTx9LKnQ,identity_resolution,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/wp-content/uploads/2021/08/Chronic-Fatigue-Syndrome-ASORD-1.pdf; original_urls=1; contributing_ercs=1
AU-042,AOSRD_PDF,aosrd,https://aosrd.org/wp-content/uploads/2021/09/PowerPoint-for-Doctors-Terri-Jay-2.pdf,https://aosrd.org/wp-content/uploads/2021/09/PowerPoint-for-Doctors-Terri-Jay-2.pdf,ok,erc-4.5-pdf-062-aosrd-webinars-261-qVX_h6blAQw,aosrd-webinars-261-qVX_h6blAQw,new_session_candidate,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/wp-content/uploads/2021/09/PowerPoint-for-Doctors-Terri-Jay-2.pdf; original_urls=1; contributing_ercs=1
AU-043,AOSRD_PDF,aosrd,https://aosrd.org/wp-content/uploads/2021/12/Mold-and-Mycotoxins-1021.pdf,https://aosrd.org/wp-content/uploads/2021/12/Mold-and-Mycotoxins-1021.pdf,ok,erc-4.5-pdf-061-aosrd-webinars-249-3mTLksPwJyo,aosrd-webinars-249-3mTLksPwJyo,identity_resolution,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/wp-content/uploads/2021/12/Mold-and-Mycotoxins-1021.pdf; original_urls=1; contributing_ercs=1
AU-044,AOSRD_PDF,aosrd,https://aosrd.org/wp-content/uploads/2022/03/What-I-learned-from-the-Osteopathic-Masters-and....-Richwine-William-final-2022.0301-pdf.pdf,https://aosrd.org/wp-content/uploads/2022/03/What-I-learned-from-the-Osteopathic-Masters-and....-Richwine-William-final-2022.0301-pdf.pdf,ok,erc-4.5-pdf-056-aosrd-webinars-238-oMjTc20O6Ps,aosrd-webinars-238-oMjTc20O6Ps,new_session_candidate,false,1,not_present,AUTHORIZE,bytes_in_custody;explicitly_not_session_identity;explicitly_not_knowledge_object,source_type+canonical_url key=AOSRD_PDF::https://aosrd.org/wp-content/uploads/2022/03/What-I-learned-from-the-Osteopathic-Masters-and....-Richwine-William-final-2022.0301-pdf.pdf; original_urls=1; contributing_ercs=1
