record_id,ecosystem,source,original_title,normalized_title,pass1_reference,pass1_match_class,otter_id,otter_date,packet_dir,external_representation_type,external_url,local_representation_already_present,novelty_score,identity_confidence,evidence_gain_score,processing_effort,duplication_risk,downstream_utility,preservation_value,acquisition_cost_class,information_gain_effort,acquisition_decision,acquisition_rationale,what_this_could_add,what_we_already_have,blocking_condition,notes
aosrd-webinars-009-2qegURyj8Yg,AOSRD_Clearfield,aosrd_webinars_youtube,Could Carbon 60 Be the Next Frontier in Longevity Medicine with Bob Greska – Video,could carbon 60 be the next frontier in longevity medicine with bob greska video,aosrd-webinars-009-2qegURyj8Yg,possible,hxlUjPAXSClySIs4HN1P0CWe_Qk,2026-06-16,Research/lectures/clearfield-webinar-2026-06-16,YouTube_video,https://youtu.be/2qegURyj8Yg,yes,1,low,1,very_high,high,low,low,high,poor,DEFER_IDENTITY_UNRESOLVED,Pass 1 match is only possible. Video acquisition/processing is expensive and captions are unverified. Resolve identity first before considering video.,Unclear until identity is resolved; may largely duplicate Otter text.,hxlUjPAXSClySIs4HN1P0CWe_Qk:otter_transcript+otter_summary+mednote_stack+slides_claimed_elsewhere,resolve_identity_before_video_acquisition,pass3_availability=available_external; captions=not_checked; has_pdf_also=False
aosrd-webinars-010-_slDDht8T8c,AOSRD_Clearfield,aosrd_webinars_youtube,Integrative Medicine Meets Applied Physics w Dr Chris Meletis – Video,integrative medicine meets applied physics w dr chris meletis video,aosrd-webinars-010-_slDDht8T8c,possible,SiB7Ifahh4_dfJVERQgP60auXjw;sLBIeA_Jmb8LAaQrgfDavdK3onA,2026-05-19;2025-10-28,Research/lectures/clearfield-webinar-2026-05-19;Research/lectures/clearfield-webinar-2025-10-28,YouTube_video,https://youtu.be/_slDDht8T8c,yes,1,low,1,very_high,high,low,low,high,poor,DEFER_IDENTITY_UNRESOLVED,Pass 1 match is only possible. Video acquisition/processing is expensive and captions are unverified. Resolve identity first before considering video.,Unclear until identity is resolved; may largely duplicate Otter text.,SiB7Ifahh4_dfJVERQgP60auXjw:otter_transcript+otter_summary+mednote_stack+slides_claimed_elsewhere; sLBIeA_Jmb8LAaQrgfDavdK3onA:otter_transcript+otter_summary+mednote_stack+slides_claimed_elsewhere,resolve_identity_before_video_acquisition,pass3_availability=available_external; captions=not_checked; has_pdf_also=False
aosrd-webinars-011-4uO525HIEm0,AOSRD_Clearfield,aosrd_webinars_youtube,AI in Healthcare with Dr. Benoit Tano – Video – 17  June 2026,ai in healthcare with dr benoit tano video 17 june 2026,aosrd-webinars-011-4uO525HIEm0,possible,81vgkJ55QnsvesXbnyxCMQPr6Rc,2026-06-09,Research/lectures/clearfield-webinar-2026-06-09,YouTube_video,https://youtu.be/4uO525HIEm0,yes,1,low,1,very_high,high,low,low,high,poor,DEFER_IDENTITY_UNRESOLVED,Pass 1 match is only possible. Video acquisition/processing is expensive and captions are unverified. Resolve identity first before considering video.,Unclear until identity is resolved; may largely duplicate Otter text.,81vgkJ55QnsvesXbnyxCMQPr6Rc:otter_transcript+otter_summary+mednote_stack+slides_claimed_elsewhere,resolve_identity_before_video_acquisition,pass3_availability=available_external; captions=not_checked; has_pdf_also=False
aosrd-webinars-012-EcAxOut2zBI,AOSRD_Clearfield,aosrd_webinars_youtube,"Everyone Knows Someone with Cancer, What Can We Do About it with – Video – 17 June 2026",everyone knows someone with cancer what can we do about it with video 17 june 2026,aosrd-webinars-012-EcAxOut2zBI,possible,avbRWMav2fwgobz9r7HjwR4z44I,2026-06-02,Research/lectures/clearfield-webinar-2026-06-02,YouTube_video,https://youtu.be/EcAxOut2zBI,yes,1,low,1,very_high,high,low,low,high,poor,DEFER_IDENTITY_UNRESOLVED,Pass 1 match is only possible. Video acquisition/processing is expensive and captions are unverified. Resolve identity first before considering video.,Unclear until identity is resolved; may largely duplicate Otter text.,avbRWMav2fwgobz9r7HjwR4z44I:otter_transcript+otter_summary+mednote_stack+slides_claimed_elsewhere,resolve_identity_before_video_acquisition,pass3_availability=available_external; captions=not_checked; has_pdf_also=False
aosrd-webinars-013-U2sLxeOYnFU,AOSRD_Clearfield,aosrd_webinars_youtube,The Histology of Morgellons Nobody’s Talking About – Video,the histology of morgellons nobody s talking about video,aosrd-webinars-013-U2sLxeOYnFU,no_match,,,,YouTube_video,https://www.youtube.com/watch?v=U2sLxeOYnFU,no,3,unresolved,2,very_high,low,medium,medium,very_high,poor,DEFER_EXPENSIVE_VIDEO,"Potentially new session relative to Otter corpus (Pass 1 no_match — not confirmed new), but representation is video-only with captions/transcript status not_checked. Acquisition would likely require download + transcription (very high effort) without a verified text route. Defer until caption availability can be verified without downloading, or until a cheaper text representation is found.",Possibly a session absent from Otter — but only after expensive AV processing with unverified captions.,catalog_and_external_URL,verify_captions_or_prefer_PDF_before_any_video_acquire; not_a_confirmed_new_lecture,pass3_availability=available_external; captions=not_checked; has_pdf_also=False; pot=potentially_new_session
aosrd-webinars-014-OOyPAmbcz0U,AOSRD_Clearfield,aosrd_webinars_youtube,Video – 19 May 2026,video 19 may 2026,aosrd-webinars-014-OOyPAmbcz0U,possible,SiB7Ifahh4_dfJVERQgP60auXjw;H1Iomsee4ZUONKKezPDcMBYCvQ0;noIHLP-haQRngsIwy5mlPxVj6SM,2026-05-19;2026-06-30;2026-02-18,Research/lectures/clearfield-webinar-2026-05-19;Research/lectures/clearfield-webinar-2026-06-30;Research/lectures/clearfield-webinar-2026-02-18,YouTube_video,https://youtu.be/OOyPAmbcz0U,yes,1,low,1,very_high,high,low,low,high,poor,DEFER_IDENTITY_UNRESOLVED,Pass 1 match is only possible. Video acquisition/processing is expensive and captions are unverified. Resolve identity first before considering video.,Unclear until identity is resolved; may largely duplicate Otter text.,SiB7Ifahh4_dfJVERQgP60auXjw:otter_transcript+otter_summary+mednote_stack+slides_claimed_elsewhere; noIHLP-haQRngsIwy5mlPxVj6SM:otter_transcript+otter_summary+mednote_stack+slides_claimed_elsewhere,resolve_identity_before_video_acquisition,pass3_availability=available_external; captions=not_checked; has_pdf_also=False
aosrd-webinars-015-vngXuAjbS-4,AOSRD_Clearfield,aosrd_webinars_youtube,The Direct Primary Care Practice Model-How to Do It with Stefan Hartmann – Video – 12 May 2026,the direct primary care practice model how to do it with stefan hartmann video 12 may 2026,aosrd-webinars-015-vngXuAjbS-4,strong,7f1TOn8POnM4I7k7Kv04F-ZbcYA;P7cEH8dwjVWTUDcsolAayRGqqp4,2026-05-12;2024-10-29,Research/lectures/clearfield-webinar-2026-05-12;Research/lectures/clearfield-webinar-2024-10-29,YouTube_video,https://youtu.be/vngXuAjbS-4,yes,1,high,1,very_high,high,low,low,high,poor,DEFER_EXPENSIVE_VIDEO,"YouTube_video appears to duplicate an Otter-covered session (Pass 1 strong). Otter transcript + MedNote already exist locally. Captions/transcript status is not verified (Pass 3 not_checked), so video acquisition would be high-cost with little expected text gain. No verified additional text representation is currently available.",Possibly AV fidelity / delivery timing; unlikely new textual knowledge vs Otter.,7f1TOn8POnM4I7k7Kv04F-ZbcYA:otter_transcript+otter_summary+mednote_stack+slides_claimed_elsewhere; P7cEH8dwjVWTUDcsolAayRGqqp4:otter_transcript+otter_summary+mednote_stack+slides_claimed_elsewhere,do_not_acquire_video_while_otter_text_exists_and_captions_unverified,pass3_availability=available_external; captions=not_checked; has_pdf_also=False
aosrd-webinars-016-VbIvp2bY8xs,AOSRD_Clearfield,aosrd_webinars_youtube,What If Aging is the Real Disease with Dr Bill Andrews and Sonny Ngyuen – Video – 6 May 2026,what if aging is the real disease with dr bill andrews and sonny ngyuen video 6 may 2026,aosrd-webinars-016-VbIvp2bY8xs,possible,l416W8yP4i7dv3Jhd5H2F74zMnU;ajVChHpkQS72kcrtN9J03lwNFZ0,2026-01-21;2026-04-28,Research/lectures/clearfield-webinar-2026-01-21;Research/lectures/clearfield-webinar-2026-04-28,YouTube_video,https://youtu.be/VbIvp2bY8xs,yes,1,low,1,very_high,high,low,low,high,poor,DEFER_IDENTITY_UNRESOLVED,Pass 1 match is only possible. Video acquisition/processing is expensive and captions are unverified. Resolve identity first before considering video.,Unclear until identity is resolved; may largely duplicate Otter text.,l416W8yP4i7dv3Jhd5H2F74zMnU:otter_transcript+otter_summary+mednote_stack+slides_claimed_elsewhere; ajVChHpkQS72kcrtN9J03lwNFZ0:otter_transcript+otter_summary+mednote_stack+slides_claimed_elsewhere,resolve_identity_before_video_acquisition,pass3_availability=available_external; captions=not_checked; has_pdf_also=False
aosrd-webinars-017-1h0pTWQFHGQ,AOSRD_Clearfield,aosrd_webinars_youtube,The Coimbra Protocol-High Dose Vitamin D for Autoimmune Disease Relief – Video – 6 May 2026,the coimbra protocol high dose vitamin d for autoimmune disease relief video 6 may 2026,aosrd-webinars-017-1h0pTWQFHGQ,possible,dBggaNSwAGYqDBG1O_hdE5Zo1CY,2025-12-03,Research/lectures/clearfield-webinar-2025-12-03,YouTube_video,https://youtu.be/1h0pTWQFHGQ,yes,1,low,1,very_high,high,low,low,high,poor,DEFER_IDENTITY_UNRESOLVED,Pass 1 match is only possible. Video acquisition/processing is expensive and captions are unverified. Resolve identity first before considering video.,Unclear until identity is resolved; may largely duplicate Otter text.,dBggaNSwAGYqDBG1O_hdE5Zo1CY:otter_transcript+otter_summary+mednote_stack+slides_claimed_elsewhere,resolve_identity_before_video_acquisition,pass3_availability=available_external; captions=not_checked; has_pdf_also=False
aosrd-webinars-018-239fPv2g6VI,AOSRD_Clearfield,aosrd_webinars_youtube,Estrogen-Devil or Angel​ – Video – 8 Apr 2026,estrogen devil or angel video 8 apr 2026,aosrd-webinars-018-239fPv2g6VI,no_match,,,,YouTube_video,https://youtu.be/239fPv2g6VI,no,3,unresolved,2,very_high,low,medium,medium,very_high,poor,DEFER_EXPENSIVE_VIDEO,"Potentially new session relative to Otter corpus (Pass 1 no_match — not confirmed new), but representation is video-only with captions/transcript status not_checked. Acquisition would likely require download + transcription (very high effort) without a verified text route. Defer until caption availability can be verified without downloading, or until a cheaper text representation is found.",Possibly a session absent from Otter — but only after expensive AV processing with unverified captions.,catalog_and_external_URL,verify_captions_or_prefer_PDF_before_any_video_acquire; not_a_confirmed_new_lecture,pass3_availability=available_external; captions=not_checked; has_pdf_also=False; pot=potentially_new_session
aosrd-webinars-019-D_j_SYnDRBM,AOSRD_Clearfield,aosrd_webinars_youtube,The Multifocal Cardiogram-Artifical Intelligence Meets the EKG with Dr. Sam Fillingane​ – Video – March 2026,the multifocal cardiogram artifical intelligence meets the ekg with dr sam fillingane video march 2026,aosrd-webinars-019-D_j_SYnDRBM,possible,iFe-Jl__wpKT9UKu7NZMWLiMJ5w,2026-03-31,Research/lectures/clearfield-webinar-2026-03-31,YouTube_video,https://youtu.be/D_j_SYnDRBM,yes,1,low,1,very_high,high,low,low,high,poor,DEFER_IDENTITY_UNRESOLVED,Pass 1 match is only possible. Video acquisition/processing is expensive and captions are unverified. Resolve identity first before considering video.,Unclear until identity is resolved; may largely duplicate Otter text.,iFe-Jl__wpKT9UKu7NZMWLiMJ5w:otter_transcript+otter_summary+mednote_stack+slides_claimed_elsewhere,resolve_identity_before_video_acquisition,pass3_availability=available_external; captions=not_checked; has_pdf_also=False
aosrd-webinars-020-IHGfQHUyCaY,AOSRD_Clearfield,aosrd_webinars_youtube,Battlefield Acupuncture with Dr Bill Clearfield​ – Video – March 2026,battlefield acupuncture with dr bill clearfield video march 2026,aosrd-webinars-020-IHGfQHUyCaY,possible,MgYpfjiYtlaKaW_z2gwloZSPQ5o,2026-01-28,Research/lectures/clearfield-webinar-2026-01-28,YouTube_video,https://youtu.be/IHGfQHUyCaY,yes,1,low,1,very_high,high,low,low,high,poor,DEFER_IDENTITY_UNRESOLVED,Pass 1 match is only possible. Video acquisition/processing is expensive and captions are unverified. Resolve identity first before considering video.,Unclear until identity is resolved; may largely duplicate Otter text.,MgYpfjiYtlaKaW_z2gwloZSPQ5o:otter_transcript+otter_summary+mednote_stack+slides_claimed_elsewhere,resolve_identity_before_video_acquisition,pass3_availability=available_external; captions=not_checked; has_pdf_also=False
aosrd-webinars-021-aGltKy2mBBo,AOSRD_Clearfield,aosrd_webinars_youtube,"Frequency, Sound and Autonomic Regulation with Margarita Xistris​ – Video – 3 March 2026",frequency sound and autonomic regulation with margarita xistris video 3 march 2026,aosrd-webinars-021-aGltKy2mBBo,strong,RaBBFKZC2Aa5zl5VmBwF_n4Zwk8,2026-03-04,Research/lectures/clearfield-webinar-2026-03-04,YouTube_video,https://youtu.be/aGltKy2mBBo,yes,1,high,1,very_high,high,low,low,high,poor,DEFER_EXPENSIVE_VIDEO,"YouTube_video appears to duplicate an Otter-covered session (Pass 1 strong). Otter transcript + MedNote already exist locally. Captions/transcript status is not verified (Pass 3 not_checked), so video acquisition would be high-cost with little expected text gain. No verified additional text representation is currently available.",Possibly AV fidelity / delivery timing; unlikely new textual knowledge vs Otter.,RaBBFKZC2Aa5zl5VmBwF_n4Zwk8:otter_transcript+otter_summary+mednote_stack+slides_claimed_elsewhere,do_not_acquire_video_while_otter_text_exists_and_captions_unverified,pass3_availability=available_external; captions=not_checked; has_pdf_also=False
aosrd-webinars-022-Qnnc8l-_VKI,AOSRD_Clearfield,aosrd_webinars_youtube,"Sunshine, Light and Why EMF Protection is More than Skin Deep with Dan Stachofsky​ – Video – 25 March 2026",sunshine light and why emf protection is more than skin deep with dan stachofsky video 25 march 2026,aosrd-webinars-022-Qnnc8l-_VKI,no_match,,,,YouTube_video,https://youtu.be/Qnnc8l-_VKI,no,3,unresolved,2,very_high,low,medium,medium,very_high,poor,DEFER_EXPENSIVE_VIDEO,"Potentially new session relative to Otter corpus (Pass 1 no_match — not confirmed new), but representation is video-only with captions/transcript status not_checked. Acquisition would likely require download + transcription (very high effort) without a verified text route. Defer until caption availability can be verified without downloading, or until a cheaper text representation is found.",Possibly a session absent from Otter — but only after expensive AV processing with unverified captions.,catalog_and_external_URL,verify_captions_or_prefer_PDF_before_any_video_acquire; not_a_confirmed_new_lecture,pass3_availability=available_external; captions=not_checked; has_pdf_also=False; pot=potentially_new_session
aosrd-webinars-023-Tirv1WnOCRY,AOSRD_Clearfield,aosrd_webinars_youtube,The End of Medicine with Dr. Paul Clayton – Video – 12 March 2026,the end of medicine with dr paul clayton video 12 march 2026,aosrd-webinars-023-Tirv1WnOCRY,strong,Se28ZvfBuNMYHNmwQG9ua7gbTWk,2026-03-10,Research/lectures/clearfield-webinar-2026-03-10,YouTube_video,https://youtu.be/Tirv1WnOCRY,yes,1,high,1,very_high,high,low,low,high,poor,DEFER_EXPENSIVE_VIDEO,"YouTube_video appears to duplicate an Otter-covered session (Pass 1 strong). Otter transcript + MedNote already exist locally. Captions/transcript status is not verified (Pass 3 not_checked), so video acquisition would be high-cost with little expected text gain. No verified additional text representation is currently available.",Possibly AV fidelity / delivery timing; unlikely new textual knowledge vs Otter.,Se28ZvfBuNMYHNmwQG9ua7gbTWk:otter_transcript+otter_summary+mednote_stack+slides_claimed_elsewhere,do_not_acquire_video_while_otter_text_exists_and_captions_unverified,pass3_availability=available_external; captions=not_checked; has_pdf_also=False
aosrd-webinars-024-tG56hy020G8,AOSRD_Clearfield,aosrd_webinars_youtube,A Tale of Two Syndromes-PCOS and Hashimoto’s Thyroidits with Dr. Victor Klausner and Bill Clearfield – Video – 3 March 2026,a tale of two syndromes pcos and hashimoto s thyroidits with dr victor klausner and bill clearfield video 3 march 2026,aosrd-webinars-024-tG56hy020G8,possible,eEDmdeOTNokKYKUadQuO_9gDjuo,2026-02-25,Research/lectures/clearfield-webinar-2026-02-25,YouTube_video,https://youtu.be/tG56hy020G8,yes,1,low,1,very_high,high,low,low,high,poor,DEFER_IDENTITY_UNRESOLVED,Pass 1 match is only possible. Video acquisition/processing is expensive and captions are unverified. Resolve identity first before considering video.,Unclear until identity is resolved; may largely duplicate Otter text.,eEDmdeOTNokKYKUadQuO_9gDjuo:otter_transcript+otter_summary+mednote_stack+slides_claimed_elsewhere,resolve_identity_before_video_acquisition,pass3_availability=available_external; captions=not_checked; has_pdf_also=False
aosrd-webinars-025-FFLoos87gRA,AOSRD_Clearfield,aosrd_webinars_youtube,Stress Dominance-Why Hormone Dysregulation Begins Before Labs Go Abnormal with Dr. Eldred Taylor – Video – 18-Feb-2026,stress dominance why hormone dysregulation begins before labs go abnormal with dr eldred taylor video 18 feb 2026,aosrd-webinars-025-FFLoos87gRA,strong,noIHLP-haQRngsIwy5mlPxVj6SM,2026-02-18,Research/lectures/clearfield-webinar-2026-02-18,YouTube_video,https://youtu.be/FFLoos87gRA,yes,1,high,1,very_high,high,low,low,high,poor,DEFER_EXPENSIVE_VIDEO,"YouTube_video appears to duplicate an Otter-covered session (Pass 1 strong). Otter transcript + MedNote already exist locally. Captions/transcript status is not verified (Pass 3 not_checked), so video acquisition would be high-cost with little expected text gain. No verified additional text representation is currently available.",Possibly AV fidelity / delivery timing; unlikely new textual knowledge vs Otter.,noIHLP-haQRngsIwy5mlPxVj6SM:otter_transcript+otter_summary+mednote_stack+slides_claimed_elsewhere,do_not_acquire_video_while_otter_text_exists_and_captions_unverified,pass3_availability=available_external; captions=not_checked; has_pdf_also=False
aosrd-webinars-026-v3cUiPMVJnw,AOSRD_Clearfield,aosrd_webinars_youtube,Ketamine for Treatment Resistant Depression with Dr. Erwin Boco – Video – 11-Feb-2026,ketamine for treatment resistant depression with dr erwin boco video 11 feb 2026,aosrd-webinars-026-v3cUiPMVJnw,strong,Z9n_3HuDLHeLCNsCxD97Y679BQA,2026-02-11,Research/lectures/clearfield-webinar-2026-02-11,YouTube_video,https://youtu.be/v3cUiPMVJnw,yes,1,high,1,very_high,high,low,low,high,poor,DEFER_EXPENSIVE_VIDEO,"YouTube_video appears to duplicate an Otter-covered session (Pass 1 strong). Otter transcript + MedNote already exist locally. Captions/transcript status is not verified (Pass 3 not_checked), so video acquisition would be high-cost with little expected text gain. No verified additional text representation is currently available.",Possibly AV fidelity / delivery timing; unlikely new textual knowledge vs Otter.,Z9n_3HuDLHeLCNsCxD97Y679BQA:otter_transcript+otter_summary+mednote_stack+slides_claimed_elsewhere,do_not_acquire_video_while_otter_text_exists_and_captions_unverified,pass3_availability=available_external; captions=not_checked; has_pdf_also=False
